match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829077328,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776862431583,1776864365611,1934,False,Khazix,4,7,4,GOLD II,2026-04-22 13:26:05.611
EUW1_7829052608,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776859813151,1776861867708,2054,False,Nautilus,4,9,16,GOLD II,2026-04-22 12:44:27.708
EUW1_7829018224,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776857103642,1776859517225,2413,True,Urgot,11,12,4,GOLD II,2026-04-22 12:05:17.225
EUW1_7824046406,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776462030424,1776463960598,1930,False,Malzahar,6,12,10,GOLD II,2026-04-17 22:12:40.598
EUW1_7823988237,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776459647365,1776461698573,2051,False,Veigar,3,3,5,GOLD II,2026-04-17 21:34:58.573
EUW1_7823949709,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776458028062,1776459421126,1393,False,Malzahar,3,9,3,GOLD II,2026-04-17 20:57:01.126
EUW1_7823397293,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776431714004,1776433546967,1833,False,Malzahar,16,13,9,GOLD II,2026-04-17 13:45:46.967
EUW1_7823362158,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776429289123,1776431123030,1834,True,Malzahar,3,4,9,GOLD II,2026-04-17 13:05:23.030
EUW1_7823339548,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776427350732,1776429054269,1703,True,Malzahar,6,7,13,GOLD II,2026-04-17 12:30:54.269
EUW1_7823310078,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776425348285,1776427010594,1662,True,Malzahar,2,8,11,GOLD II,2026-04-17 11:56:50.594
EUW1_7823288631,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776423252267,1776424860685,1608,False,Jhin,9,7,3,GOLD II,2026-04-17 11:21:00.685
EUW1_7822212457,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776341031831,1776343189756,2158,False,Jhin,6,12,10,GOLD II,2026-04-16 12:39:49.756
EUW1_7822185134,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776339265970,1776340813576,1547,False,Jinx,3,7,5,GOLD II,2026-04-16 12:00:13.576
EUW1_7821120832,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776255698598,1776257536391,1843,False,Jinx,7,12,14,GOLD II,2026-04-15 12:52:16.391
EUW1_7821107647,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776254207562,1776255406334,1199,True,Caitlyn,6,7,3,GOLD II,2026-04-15 12:16:46.334
EUW1_7821083612,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776252480300,1776253856184,1376,False,Jinx,5,8,6,GOLD II,2026-04-15 11:50:56.184
EUW1_7821059056,ln_NwYGJM54PMA6prPN9-NsRgu4uBCiDPZqzvrNN51O39psYhNWhXwImPL8S_YLlNd2RQ9ruX6kNdQ,1776250374348,1776252115298,1741,False,Jinx,4,9,8,GOLD II,2026-04-15 11:21:55.298
