match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7836715412,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1777484847668,1777486574856,1727,False,Brand,6,12,14,SILVER II,2026-04-29 18:16:14.856
EUW1_7836655586,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1777481678850,1777484062693,2384,False,FiddleSticks,3,10,15,SILVER II,2026-04-29 17:34:22.693
EUW1_7836629698,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1777480569472,1777480671801,102,False,FiddleSticks,0,0,0,SILVER II,2026-04-29 16:37:51.801
EUW1_7825409828,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776556486073,1776558600752,2115,False,FiddleSticks,1,12,12,SILVER II,2026-04-19 00:30:00.752
EUW1_7823386202,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776430885059,1776432567218,1682,False,FiddleSticks,2,11,7,SILVER II,2026-04-17 13:29:27.218
EUW1_7821989083,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776303256891,1776304579104,1322,True,FiddleSticks,1,3,9,SILVER II,2026-04-16 01:56:19.104
EUW1_7821943540,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776296370085,1776297950664,1580,False,FiddleSticks,2,5,13,SILVER II,2026-04-16 00:05:50.664
EUW1_7820872364,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776210359307,1776212142897,1783,True,FiddleSticks,4,2,14,SILVER II,2026-04-15 00:15:42.897
EUW1_7820788473,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776203405091,1776205457980,2053,True,FiddleSticks,5,7,24,SILVER II,2026-04-14 22:24:17.980
EUW1_7820721026,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776200263049,1776202724821,2462,False,FiddleSticks,2,12,13,SILVER II,2026-04-14 21:38:44.821
EUW1_7820553113,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776192833060,1776195029249,2196,True,FiddleSticks,4,7,16,SILVER II,2026-04-14 19:30:29.249
EUW1_7820425178,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776186973957,1776189257926,2284,True,FiddleSticks,4,9,24,SILVER II,2026-04-14 17:54:17.926
EUW1_7820299698,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776179333018,1776181077232,1744,True,FiddleSticks,6,12,20,SILVER II,2026-04-14 15:37:57.232
EUW1_7820232634,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776174540106,1776176545939,2006,False,FiddleSticks,2,3,9,SILVER II,2026-04-14 14:22:25.939
EUW1_7820189065,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1776171119828,1776172992835,1873,True,FiddleSticks,5,6,14,SILVER II,2026-04-14 13:23:12.835
EUW1_7808049777,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1775166607673,1775168184538,1577,False,FiddleSticks,2,7,14,SILVER II,2026-04-02 22:16:24.538
EUW1_7807968612,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1775163221214,1775165503732,2282,False,FiddleSticks,2,3,6,SILVER II,2026-04-02 21:31:43.732
EUW1_7807904592,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1775160792905,1775162181614,1389,False,FiddleSticks,0,4,3,SILVER II,2026-04-02 20:36:21.614
EUW1_7806873170,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1775076091985,1775078278184,2186,True,Brand,3,8,18,SILVER II,2026-04-01 21:17:58.184
EUW1_7806858935,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1775075384716,1775075483524,99,False,FiddleSticks,0,0,0,SILVER II,2026-04-01 20:31:23.524
EUW1_7801074642,m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,1774645167538,1774647161823,1994,True,FiddleSticks,3,12,19,SILVER II,2026-03-27 21:32:41.823
