match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829898210,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776928147816,1776930349993,2202,False,Chogath,9,5,5,SILVER I,2026-04-23 07:45:49.993
EUW1_7829888407,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776925891314,1776927762352,1871,False,Ekko,4,9,6,SILVER I,2026-04-23 07:02:42.352
EUW1_7829717996,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776894469973,1776896716867,2247,True,MissFortune,17,11,14,SILVER I,2026-04-22 22:25:16.867
EUW1_7829690536,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776892825282,1776894186981,1361,False,Jhin,1,0,1,SILVER I,2026-04-22 21:43:06.981
EUW1_7829626657,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776890195622,1776892440257,2244,True,Jhin,20,5,9,SILVER I,2026-04-22 21:14:00.257
EUW1_7829342101,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776878397380,1776880157390,1760,True,Ashe,3,4,12,SILVER I,2026-04-22 17:49:17.390
EUW1_7829312465,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776876574816,1776877866341,1291,True,Ashe,7,1,11,SILVER I,2026-04-22 17:11:06.341
EUW1_7829240918,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776872946032,1776875849658,2903,True,Vayne,6,5,6,SILVER I,2026-04-22 16:37:29.658
EUW1_7829213616,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776871258138,1776872624808,1367,False,Chogath,5,2,0,SILVER I,2026-04-22 15:43:44.808
EUW1_7828809881,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776813225836,1776814797378,1571,False,Volibear,1,7,3,SILVER I,2026-04-21 23:39:57.378
EUW1_7828795219,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776812015389,1776812939565,924,True,Volibear,3,1,2,SILVER I,2026-04-21 23:08:59.565
EUW1_7828685469,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776805631500,1776807822087,2190,True,Vayne,16,4,5,SILVER I,2026-04-21 21:43:42.087
EUW1_7828633023,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776803730066,1776805122459,1392,True,Chogath,4,1,0,SILVER I,2026-04-21 20:58:42.459
EUW1_7827961269,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776768284611,1776770005314,1721,True,Volibear,4,3,5,SILVER I,2026-04-21 11:13:25.314
EUW1_7827936994,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776765479248,1776767895299,2416,False,Kayn,3,10,10,SILVER I,2026-04-21 10:38:15.299
EUW1_7827747705,mNA2q3IxzsAOIBpXg6nkTvMZoI2kfjbAF7YlipcE1J6H8J_EIKF5qoJtm7JUH9ubHZcV17vRzEFLfA,1776725722361,1776728298059,2576,False,Kayn,4,7,18,SILVER I,2026-04-20 23:38:18.059
