match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823472614,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776435927525,1776437454343,1527,False,Nocturne,6,1,2,SILVER I,2026-04-17 14:50:54.343
EUW1_7823417836,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776432774523,1776435502114,2727,False,Nocturne,2,7,18,SILVER I,2026-04-17 14:18:22.114
EUW1_7823382586,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776430312867,1776432469352,2156,True,Nocturne,10,9,11,SILVER I,2026-04-17 13:27:49.352
EUW1_7823347911,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776428106217,1776430018206,1912,True,Nocturne,8,1,11,SILVER I,2026-04-17 12:46:58.206
EUW1_7823315481,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776425243981,1776427644268,2400,True,Nocturne,8,6,14,SILVER I,2026-04-17 12:07:24.268
EUW1_7823286581,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776423059870,1776424895966,1836,True,Nocturne,7,1,11,SILVER I,2026-04-17 11:21:35.966
EUW1_7822737290,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776367508207,1776370215385,2707,False,Nocturne,7,13,11,SILVER I,2026-04-16 20:10:15.385
EUW1_7822240419,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776343772909,1776345567210,1794,False,Nocturne,5,5,4,SILVER I,2026-04-16 13:19:27.210
EUW1_7822226752,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776342284101,1776343200917,917,True,Nocturne,0,1,3,SILVER I,2026-04-16 12:40:00.917
EUW1_7822189259,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776339600435,1776341967930,2367,True,MasterYi,8,6,12,SILVER I,2026-04-16 12:19:27.930
EUW1_7822162566,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776337001484,1776338312176,1311,True,MasterYi,4,3,2,SILVER I,2026-04-16 11:18:32.176
EUW1_7822138040,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776334935908,1776336793664,1858,False,MasterYi,5,7,8,SILVER I,2026-04-16 10:53:13.664
EUW1_7822110044,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776332332234,1776334657206,2325,True,MasterYi,9,2,6,SILVER I,2026-04-16 10:17:37.206
EUW1_7822099500,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776330635966,1776331918530,1282,False,MasterYi,3,5,1,SILVER I,2026-04-16 09:31:58.530
EUW1_7822072583,miNY0v_Ugr8mVtxidO3TqU5jqdKTNtlZJo8dd2lSDXDOwIYWyzdXb_P0Am8A1Al5LDjBofLMyxcxuA,1776327615801,1776330360370,2744,True,MasterYi,11,8,12,SILVER I,2026-04-16 09:06:00.370
