match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842420215,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777915621459,1777917440109,1819,False,Nautilus,2,13,12,GOLD II,2026-05-04 17:57:20.109
EUW1_7841808585,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777847930137,1777849793695,1863,True,Lillia,13,5,12,GOLD II,2026-05-03 23:09:53.695
EUW1_7841753397,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777845180232,1777847073368,1893,True,Diana,12,7,3,GOLD II,2026-05-03 22:24:33.368
EUW1_7840431632,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777757250250,1777758342398,1092,False,Mel,1,7,2,GOLD II,2026-05-02 21:45:42.398
EUW1_7840104759,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777743248372,1777744962825,1714,False,Mel,8,10,2,GOLD II,2026-05-02 18:02:42.825
EUW1_7840076943,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777741911264,1777742967795,1056,False,Mel,0,6,0,GOLD II,2026-05-02 17:29:27.795
EUW1_7840020356,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777739203121,1777741554401,2351,True,Mel,13,4,8,GOLD II,2026-05-02 17:05:54.401
EUW1_7839399447,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777677234078,1777679649193,2415,True,Graves,15,7,5,GOLD II,2026-05-01 23:54:09.193
EUW1_7839374279,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777675696025,1777676917281,1221,False,Soraka,0,6,4,GOLD II,2026-05-01 23:08:37.281
EUW1_7838076298,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777584057362,1777585900554,1844,True,XinZhao,12,6,12,GOLD II,2026-04-30 21:51:40.554
EUW1_7837736972,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777569263250,1777571857873,2594,False,Mel,4,13,8,GOLD II,2026-04-30 17:57:37.873
EUW1_7837077340,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777498673109,1777500869772,2196,False,Graves,11,9,8,GOLD II,2026-04-29 22:14:29.772
EUW1_7837040608,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777496836531,1777498320207,1484,False,Mel,2,10,1,GOLD II,2026-04-29 21:32:00.207
EUW1_7835974374,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777410581475,1777412325755,1744,False,Ahri,2,9,0,GOLD II,2026-04-28 21:38:45.755
EUW1_7835393333,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777378978431,1777380877503,1899,False,Mel,9,11,6,GOLD II,2026-04-28 12:54:37.503
EUW1_7835067394,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777326554096,1777328242751,1688,False,Zed,7,10,3,GOLD II,2026-04-27 22:17:22.751
EUW1_7835024335,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777324497487,1777326050718,1553,True,Draven,2,3,3,GOLD II,2026-04-27 21:40:50.718
EUW1_7834940568,mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,1777320742406,1777322051325,1309,True,XinZhao,4,4,11,GOLD II,2026-04-27 20:34:11.325
