match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827778073,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776729059028,1776730894169,1835,False,Senna,8,13,10,GOLD IV,2026-04-21 00:21:34.169
EUW1_7827771348,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776728615188,1776728686017,71,False,Senna,0,0,0,GOLD IV,2026-04-20 23:44:46.017
EUW1_7827747450,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776726148010,1776727988870,1841,True,Senna,2,7,16,GOLD IV,2026-04-20 23:33:08.870
EUW1_7827711578,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776722983047,1776725731553,2748,True,Senna,3,3,28,GOLD IV,2026-04-20 22:55:31.553
EUW1_7827665437,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776721097494,1776722755865,1659,True,Senna,5,1,12,GOLD IV,2026-04-20 22:05:55.865
EUW1_7827294765,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776706442975,1776708490045,2047,False,Senna,1,9,16,GOLD IV,2026-04-20 18:08:10.045
EUW1_7827208070,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776702583600,1776704586186,2003,False,Senna,3,6,17,GOLD IV,2026-04-20 17:03:06.186
EUW1_7827152616,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776699466438,1776701245854,1779,True,Senna,5,4,15,GOLD IV,2026-04-20 16:07:25.854
EUW1_7827117709,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776697481090,1776699235060,1754,True,Senna,4,6,18,GOLD IV,2026-04-20 15:33:55.060
EUW1_7826727891,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776643771193,1776645685119,1914,True,Senna,9,2,12,GOLD IV,2026-04-20 00:41:25.119
EUW1_7826707143,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776641542319,1776643356733,1814,False,Senna,4,9,15,GOLD IV,2026-04-20 00:02:36.733
EUW1_7826683331,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776639581481,1776641329403,1748,True,Senna,4,6,14,GOLD IV,2026-04-19 23:28:49.403
EUW1_7826030535,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776612935464,1776615483123,2548,True,Senna,3,6,21,GOLD IV,2026-04-19 16:18:03.123
EUW1_7825955433,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776610077097,1776612659734,2582,False,Senna,3,8,18,GOLD IV,2026-04-19 15:30:59.734
EUW1_7825470150,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776564423498,1776566117829,1694,False,Senna,1,10,6,GOLD IV,2026-04-19 02:35:17.829
EUW1_7825460994,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776562142365,1776564097875,1955,True,Thresh,4,3,17,GOLD IV,2026-04-19 02:01:37.875
EUW1_7825448938,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776560386095,1776561889743,1504,True,Velkoz,4,2,8,GOLD IV,2026-04-19 01:24:49.743
EUW1_7825430242,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776558555139,1776560058823,1504,True,Pyke,13,1,13,GOLD IV,2026-04-19 00:54:18.823
EUW1_7825402265,ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,1776556053813,1776558268532,2215,True,Olaf,17,10,8,GOLD IV,2026-04-19 00:24:28.532
