match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828021008,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776773394286,1776774680544,1286,False,Sylas,3,6,6,BRONZE III,2026-04-21 12:31:20.544
EUW1_7827567713,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776716754067,1776718792612,2038,False,Rengar,10,10,12,BRONZE III,2026-04-20 20:59:52.612
EUW1_7824700891,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776523486843,1776525173039,1686,True,Viego,14,2,2,BRONZE III,2026-04-18 15:12:53.039
EUW1_7822039332,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776322614552,1776324412467,1798,False,Viego,7,3,6,BRONZE III,2026-04-16 07:26:52.467
EUW1_7821767071,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776286550767,1776287910659,1360,True,Shaco,6,3,10,BRONZE III,2026-04-15 21:18:30.659
EUW1_7821723845,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776284662170,1776286155061,1493,True,Shaco,6,3,5,BRONZE III,2026-04-15 20:49:15.061
EUW1_7821675528,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776282612814,1776283982543,1370,False,Rengar,3,7,4,BRONZE III,2026-04-15 20:13:02.543
EUW1_7821602697,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776280108500,1776282049322,1941,True,Rengar,15,6,10,BRONZE III,2026-04-15 19:40:49.322
EUW1_7821290302,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776266269213,1776268895734,2626,True,DrMundo,5,5,21,BRONZE III,2026-04-15 16:01:35.734
EUW1_7821242454,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776263866940,1776265968017,2101,True,Rengar,21,10,9,BRONZE III,2026-04-15 15:12:48.017
EUW1_7821238382,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776263563064,1776263632972,70,True,Rengar,0,0,0,BRONZE III,2026-04-15 14:33:52.972
EUW1_7821108627,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776254337505,1776256250527,1913,True,Shaco,15,3,14,BRONZE III,2026-04-15 12:30:50.527
EUW1_7821074134,mqOYBa7NIBW2SIbBxzitBX9Z8-TlSj8IDzT-u3Js2NS2_537KKFVLAG6TuM0eBnuJUUZvZWp8Pa7Pg,1776252017413,1776253897638,1880,False,Ambessa,4,7,4,BRONZE III,2026-04-15 11:51:37.638
