match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829972987,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776938644398,1776939903511,1259,True,Darius,10,2,3,GOLD IV,2026-04-23 10:25:03.511
EUW1_7829936440,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776935054655,1776937571299,2516,False,Jax,6,12,4,GOLD IV,2026-04-23 09:46:11.299
EUW1_7829940605,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776934426423,1776934497405,71,False,Jax,0,0,0,GOLD IV,2026-04-23 08:54:57.405
EUW1_7829379153,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776880055248,1776881162401,1107,False,Jax,4,5,1,GOLD IV,2026-04-22 18:06:02.401
EUW1_7828635033,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776803935428,1776806220441,2285,True,Jax,15,5,6,GOLD IV,2026-04-21 21:17:00.441
EUW1_7828347188,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776792937468,1776795041840,2104,False,Darius,9,6,3,GOLD IV,2026-04-21 18:10:41.840
EUW1_7828291001,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776790310690,1776792688816,2378,False,Jax,9,9,2,GOLD IV,2026-04-21 17:31:28.816
EUW1_7827455134,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776712881709,1776715218967,2337,True,Jax,6,12,3,GOLD IV,2026-04-20 20:00:18.967
EUW1_7827396353,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776710773887,1776712618936,1845,False,Jax,4,10,2,GOLD IV,2026-04-20 19:16:58.936
EUW1_7825847800,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776605106728,1776607838936,2732,False,Darius,14,8,5,GOLD IV,2026-04-19 14:10:38.936
EUW1_7825788019,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776602320751,1776604783877,2463,False,Jax,10,6,6,GOLD IV,2026-04-19 13:19:43.877
EUW1_7825532293,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776584590075,1776586720562,2130,True,Mordekaiser,11,6,2,GOLD IV,2026-04-19 08:18:40.562
EUW1_7824833529,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776529847141,1776531916596,2069,True,Darius,6,2,3,GOLD IV,2026-04-18 17:05:16.596
EUW1_7824644225,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776520779638,1776523376388,2597,False,Jax,3,10,3,GOLD IV,2026-04-18 14:42:56.388
EUW1_7824592259,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776517964097,1776519959031,1995,True,Darius,18,3,6,GOLD IV,2026-04-18 13:45:59.031
EUW1_7824411864,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776506261281,1776508460922,2199,True,Darius,7,4,4,GOLD IV,2026-04-18 10:34:20.922
EUW1_7824387936,nGauUSmYXamdtw0_18TMaM2k13AnlH424qk8H3VWP0rwSbM8-sEpf7td-TLyC1-SNVPm3KQsKDbCRg,1776504570195,1776506015558,1445,True,Darius,11,2,5,GOLD IV,2026-04-18 09:53:35.558
