match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837188479,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777505261416,1777506990645,1729,False,Vayne,9,17,2,SILVER II,2026-04-29 23:56:30.645
EUW1_7837176080,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777504803518,1777504903706,100,True,Vayne,0,0,0,SILVER II,2026-04-29 23:21:43.706
EUW1_7834184992,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777252188766,1777253926722,1738,True,Caitlyn,6,8,9,SILVER II,2026-04-27 01:38:46.722
EUW1_7834172045,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777249913545,1777251890372,1977,True,Caitlyn,13,7,7,SILVER II,2026-04-27 01:04:50.372
EUW1_7834162078,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777248485398,1777249396114,911,True,Caitlyn,5,1,4,SILVER II,2026-04-27 00:23:16.114
EUW1_7833888371,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777232841580,1777235263732,2422,False,Vayne,13,13,10,SILVER II,2026-04-26 20:27:43.732
EUW1_7833836297,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777230815973,1777232539390,1723,True,Vayne,6,11,5,SILVER II,2026-04-26 19:42:19.390
EUW1_7833517687,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777216998559,1777218892048,1893,False,Vayne,17,13,5,SILVER II,2026-04-26 15:54:52.048
EUW1_7832484640,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777137348068,1777139263358,1915,False,MissFortune,5,8,6,SILVER II,2026-04-25 17:47:43.358
EUW1_7831913557,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777081193134,1777083334607,2141,False,MissFortune,8,9,6,SILVER II,2026-04-25 02:15:34.607
EUW1_7831903804,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777079787450,1777080823070,1035,False,Vayne,1,11,1,SILVER II,2026-04-25 01:33:43.070
EUW1_7831235641,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777043644604,1777045587945,1943,True,Vayne,11,7,3,SILVER II,2026-04-24 15:46:27.945
EUW1_7831175332,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777040448324,1777042322175,1874,True,Vayne,16,8,6,SILVER II,2026-04-24 14:52:02.175
EUW1_7831168396,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777040132634,1777040207882,75,False,Vayne,0,0,0,SILVER II,2026-04-24 14:16:47.882
EUW1_7831140801,nZSxUuZNMg5pbgAl71SrEN7yxLgFXUApiDbR8PqZM8euaCSm0aSNzfVzqiRh82Fw-fHTflWPNlbR6w,1777037663407,1777039405200,1742,True,Vayne,20,5,7,SILVER II,2026-04-24 14:03:25.200
