match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7833934806,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1777234399806,1777236122052,1722,False,MissFortune,14,12,6,SILVER II,2026-04-26 20:42:02.052
EUW1_7828850089,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776817902794,1776818731926,829,True,Lux,5,1,6,SILVER II,2026-04-22 00:45:31.926
EUW1_7827582505,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776717302101,1776718676977,1375,True,Lux,4,5,14,SILVER II,2026-04-20 20:57:56.977
EUW1_7826779801,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776658859598,1776662193721,3334,True,Lux,13,16,27,SILVER II,2026-04-20 05:16:33.721
EUW1_7826771325,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776656610669,1776658500093,1889,True,Ashe,10,10,10,SILVER II,2026-04-20 04:15:00.093
EUW1_7826768434,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776654913089,1776655860036,947,True,Lux,4,2,11,SILVER II,2026-04-20 03:31:00.036
EUW1_7826770531,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776652804422,1776654540683,1736,False,Lux,3,12,11,SILVER II,2026-04-20 03:09:00.683
EUW1_7826762868,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776650620415,1776652457284,1837,True,Jinx,8,6,12,SILVER II,2026-04-20 02:34:17.284
EUW1_7826709155,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776641779528,1776643684202,1905,True,Lux,5,4,19,SILVER II,2026-04-20 00:08:04.202
EUW1_7826691459,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776639569095,1776641478818,1910,False,Jinx,7,12,4,SILVER II,2026-04-19 23:31:18.818
EUW1_7824651062,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776520985039,1776522913185,1928,True,Lux,2,9,13,SILVER II,2026-04-18 14:35:13.185
EUW1_7824278873,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776483159610,1776485013908,1854,True,Diana,7,5,8,SILVER II,2026-04-18 04:03:33.908
EUW1_7824269226,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776480679068,1776482874145,2195,True,Lux,15,5,21,SILVER II,2026-04-18 03:27:54.145
EUW1_7823106278,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776388976533,1776390674415,1698,False,Chogath,6,10,0,SILVER II,2026-04-17 01:51:14.415
EUW1_7823102049,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776387579517,1776388554261,975,True,Chogath,5,4,0,SILVER II,2026-04-17 01:15:54.261
EUW1_7823070802,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776383157216,1776385049086,1892,False,Garen,4,9,5,SILVER II,2026-04-17 00:17:29.086
EUW1_7823047962,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776381240787,1776382875100,1634,False,Teemo,2,10,4,SILVER II,2026-04-16 23:41:15.100
EUW1_7822775152,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776368777831,1776370846926,2069,False,Diana,8,10,17,SILVER II,2026-04-16 20:20:46.926
EUW1_7822683783,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776365224575,1776367354081,2129,False,Chogath,5,7,8,SILVER II,2026-04-16 19:22:34.081
EUW1_7822593632,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776361439068,1776363329096,1890,True,Veigar,5,8,4,SILVER II,2026-04-16 18:15:29.096
EUW1_7822530910,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776359144410,1776361145267,2006,False,Veigar,14,11,8,SILVER II,2026-04-16 17:39:05.267
EUW1_7822506649,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776358278023,1776358355944,78,False,Chogath,0,0,0,SILVER II,2026-04-16 16:52:35.944
EUW1_7822492733,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776357744562,1776357815306,71,True,Veigar,0,0,0,SILVER II,2026-04-16 16:43:35.306
EUW1_7822444213,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776355599888,1776357110538,1510,False,Veigar,6,9,1,SILVER II,2026-04-16 16:31:50.538
EUW1_7822009820,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776308964796,1776311010882,2046,True,Teemo,7,9,12,SILVER II,2026-04-16 03:43:30.882
EUW1_7822003810,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776307133719,1776308624605,1491,False,Jinx,3,13,6,SILVER II,2026-04-16 03:03:44.605
EUW1_7821995803,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776304282725,1776306663922,2381,False,DrMundo,5,12,13,SILVER II,2026-04-16 02:31:03.922
EUW1_7821840818,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776289632712,1776291401721,1769,True,Chogath,5,7,2,SILVER II,2026-04-15 22:16:41.721
EUW1_7821770031,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776286627285,1776289293262,2666,False,Chogath,14,10,10,SILVER II,2026-04-15 21:41:33.262
EUW1_7821557871,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776278060001,1776279697820,1638,True,Chogath,11,6,13,SILVER II,2026-04-15 19:01:37.820
EUW1_7821455269,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776274191770,1776276336538,2145,True,Chogath,3,5,5,SILVER II,2026-04-15 18:05:36.538
EUW1_7821314521,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776267327978,1776268922515,1594,True,Kayle,0,3,4,SILVER II,2026-04-15 16:02:02.515
EUW1_7821287101,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776266196844,1776266273319,76,False,Kayle,0,0,0,SILVER II,2026-04-15 15:17:53.319
EUW1_7821245320,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776263946773,1776265749096,1802,False,Kayle,3,9,6,SILVER II,2026-04-15 15:09:09.096
EUW1_7820917175,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776219314280,1776222058943,2745,True,Kayle,6,14,16,SILVER II,2026-04-15 03:00:58.943
EUW1_7820911217,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776216942933,1776218584037,1641,False,Kayle,1,9,3,SILVER II,2026-04-15 02:03:04.037
EUW1_7820804034,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776204539230,1776206676708,2137,False,Mordekaiser,5,12,3,SILVER II,2026-04-14 22:44:36.708
EUW1_7820782005,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776203176759,1776204145542,969,False,Kayle,2,5,0,SILVER II,2026-04-14 22:02:25.542
EUW1_7820749716,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776201501711,1776202901355,1399,False,DrMundo,3,9,1,SILVER II,2026-04-14 21:41:41.355
EUW1_7820685936,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776198466059,1776201084807,2619,True,Teemo,13,15,6,SILVER II,2026-04-14 21:11:24.807
EUW1_7819289446,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776089053823,1776090584807,1531,True,Nasus,7,2,3,SILVER II,2026-04-13 14:29:44.807
EUW1_7819276512,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1776087450391,1776088678426,1228,False,Nasus,0,3,0,SILVER II,2026-04-13 13:57:58.426
EUW1_7816600761,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1775858135028,1775860281173,2146,True,Nocturne,4,7,10,SILVER II,2026-04-10 22:31:21.173
EUW1_7816530332,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1775855474171,1775857803717,2329,False,Veigar,19,9,4,SILVER II,2026-04-10 21:50:03.717
EUW1_7816489060,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1775853706215,1775855143068,1437,True,Veigar,5,9,5,SILVER II,2026-04-10 21:05:43.068
EUW1_7815608768,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1775774611113,1775776786451,2175,True,Veigar,12,10,3,SILVER II,2026-04-09 23:19:46.451
EUW1_7814185158,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1775664719541,1775667205394,2486,False,Veigar,23,11,0,SILVER II,2026-04-08 16:53:25.394
EUW1_7813029181,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1775564598739,1775566828308,2229,False,Veigar,11,7,4,SILVER II,2026-04-07 13:00:28.308
EUW1_7799000327,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1774496254067,1774497786181,1532,True,Veigar,11,7,8,SILVER II,2026-03-26 04:03:06.181
EUW1_7798999645,oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,1774494077333,1774495412294,1335,False,Veigar,6,9,5,SILVER II,2026-03-26 03:23:32.294
