match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837654447,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1777564988518,1777567016218,2027,False,Lux,13,4,14,SILVER IV,2026-04-30 16:36:56.218
EUW1_7836760241,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1777486162225,1777488166800,2004,True,Lux,7,11,21,SILVER IV,2026-04-29 18:42:46.800
EUW1_7836530769,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1777475654330,1777477901349,2247,True,Lux,13,7,22,SILVER IV,2026-04-29 15:51:41.349
EUW1_7836495519,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1777473269308,1777475019261,1750,False,Ahri,1,7,1,SILVER IV,2026-04-29 15:03:39.261
EUW1_7831021330,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1777028758791,1777030283276,1524,False,Lux,1,6,6,SILVER IV,2026-04-24 11:31:23.276
EUW1_7827561346,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1776716706742,1776719281872,2575,False,Mel,10,13,10,SILVER IV,2026-04-20 21:08:01.872
EUW1_7824823504,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1776529325230,1776530920762,1595,True,Lux,6,2,10,SILVER IV,2026-04-18 16:48:40.762
EUW1_7822053216,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1776325523129,1776328076635,2553,False,Zyra,2,12,9,SILVER IV,2026-04-16 08:27:56.635
EUW1_7822048676,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1776323427709,1776325147932,1720,False,Karma,0,4,5,SILVER IV,2026-04-16 07:39:07.932
EUW1_7822036729,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1776320543816,1776322503749,1960,False,Zyra,6,12,12,SILVER IV,2026-04-16 06:55:03.749
EUW1_7821060173,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1776250906178,1776251822251,916,False,Lux,1,3,3,SILVER IV,2026-04-15 11:17:02.251
EUW1_7820250675,ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,1776175916071,1776178357572,2441,False,Lux,8,12,29,SILVER IV,2026-04-14 14:52:37.572
