match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826950120,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776686441042,1776688387000,1946,False,Jhin,9,10,9,GOLD II,2026-04-20 12:33:07.000
EUW1_7826874429,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776679636511,1776682232167,2595,False,Jhin,10,9,8,GOLD II,2026-04-20 10:50:32.167
EUW1_7826112006,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776616356043,1776618150722,1795,False,Kalista,10,10,4,GOLD II,2026-04-19 17:02:30.722
EUW1_7825683426,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776596836714,1776598313006,1476,False,Jhin,7,3,1,GOLD II,2026-04-19 11:31:53.006
EUW1_7825640200,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776593990303,1776596312141,2322,True,Jhin,24,7,5,GOLD II,2026-04-19 10:58:32.141
EUW1_7825220930,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776546618674,1776548192883,1574,False,Ashe,5,11,4,GOLD II,2026-04-18 21:36:32.883
EUW1_7824483033,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776511536277,1776513628031,2092,False,Jhin,16,10,10,GOLD II,2026-04-18 12:00:28.031
EUW1_7824377173,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776504042059,1776505664672,1623,True,Jhin,8,4,6,GOLD II,2026-04-18 09:47:44.672
EUW1_7824380559,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776503511624,1776503625200,113,True,Jhin,0,0,0,GOLD II,2026-04-18 09:13:45.200
EUW1_7824363790,p0r_XBHTcX7tvU0MZuM5WCmPpfItk_20ZwxcZpLXG6YQ12l3ybP-O70Df_H6ILtQA6d4zrEkJdmMBw,1776502133356,1776503109274,976,True,Jhin,7,0,4,GOLD II,2026-04-18 09:05:09.274
