match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841270155,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777825763783,1777827413710,1650,False,Briar,5,6,5,GOLD III,2026-05-03 16:56:53.710
EUW1_7841245319,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777824761477,1777825338230,577,False,Belveth,1,3,0,GOLD III,2026-05-03 16:22:18.230
EUW1_7841207976,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777823021446,1777824545661,1526,False,Nocturne,4,8,2,GOLD III,2026-05-03 16:09:05.661
EUW1_7841055696,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777816307314,1777818598069,2291,False,Briar,9,5,6,GOLD III,2026-05-03 14:29:58.069
EUW1_7840987645,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777812981708,1777815160199,2178,False,Belveth,7,8,2,GOLD III,2026-05-03 13:32:40.199
EUW1_7840938814,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777810644865,1777812473609,1829,False,Briar,10,6,6,GOLD III,2026-05-03 12:47:53.609
EUW1_7840893560,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777808076992,1777810180696,2103,True,Briar,7,7,12,GOLD III,2026-05-03 12:09:40.696
EUW1_7833286205,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777205673124,1777208192293,2519,True,Kayn,7,8,11,GOLD III,2026-04-26 12:56:32.293
EUW1_7833254313,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777203666143,1777205347686,1682,False,Diana,6,6,0,GOLD III,2026-04-26 12:09:07.686
EUW1_7833190656,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777199076669,1777202174040,3097,False,Briar,15,12,14,GOLD III,2026-04-26 11:16:14.040
EUW1_7833165456,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777197122819,1777198859237,1736,False,Belveth,3,10,6,GOLD III,2026-04-26 10:20:59.237
EUW1_7832630068,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777144739524,1777146817656,2078,False,Briar,6,11,4,GOLD III,2026-04-25 19:53:37.656
EUW1_7832588483,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777142610963,1777144418961,1808,False,Briar,5,8,5,GOLD III,2026-04-25 19:13:38.961
EUW1_7832544213,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777140672582,1777142237251,1564,True,Briar,6,3,10,GOLD III,2026-04-25 18:37:17.251
EUW1_7832481641,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777136963410,1777138933527,1970,True,Briar,11,3,11,GOLD III,2026-04-25 17:42:13.527
EUW1_7832363838,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777130926886,1777132525228,1598,True,Briar,4,9,9,GOLD III,2026-04-25 15:55:25.228
EUW1_7832317414,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777128496564,1777130472878,1976,True,Briar,9,5,11,GOLD III,2026-04-25 15:21:12.878
EUW1_7832012549,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777107130984,1777109696672,2566,True,Briar,9,6,17,GOLD III,2026-04-25 09:34:56.672
EUW1_7831670908,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777064611908,1777066394343,1782,True,Briar,11,6,8,GOLD III,2026-04-24 21:33:14.343
EUW1_7831612892,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777062398182,1777063995397,1597,False,Kayn,8,8,6,GOLD III,2026-04-24 20:53:15.397
EUW1_7831570865,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777060545459,1777061836982,1291,True,Briar,3,1,4,GOLD III,2026-04-24 20:17:16.982
EUW1_7831513590,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777058178810,1777060244039,2065,True,Briar,12,3,8,GOLD III,2026-04-24 19:50:44.039
EUW1_7831466759,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777056076221,1777057904973,1829,False,Viego,3,10,3,GOLD III,2026-04-24 19:11:44.973
EUW1_7831358986,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1777050738299,1777052851061,2113,False,Graves,5,10,5,GOLD III,2026-04-24 17:47:31.061
EUW1_7830572113,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776974541914,1776975829558,1288,False,Briar,4,6,1,GOLD III,2026-04-23 20:23:49.558
EUW1_7830512590,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776972145473,1776974250832,2105,True,Briar,7,10,15,GOLD III,2026-04-23 19:57:30.832
EUW1_7830475682,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776970655360,1776971791554,1136,False,Briar,6,3,1,GOLD III,2026-04-23 19:16:31.554
EUW1_7829537366,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776886845812,1776888665742,1820,False,Diana,5,8,8,GOLD III,2026-04-22 20:11:05.742
EUW1_7829509593,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776885495210,1776886608460,1113,True,Briar,5,2,8,GOLD III,2026-04-22 19:36:48.460
EUW1_7829443315,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776882937350,1776885174250,2237,False,Briar,5,8,6,GOLD III,2026-04-22 19:12:54.250
EUW1_7829327018,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776877619614,1776879050835,1431,False,Briar,6,5,4,GOLD III,2026-04-22 17:30:50.835
EUW1_7829300267,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776876453724,1776877380624,927,False,Kayn,1,4,0,GOLD III,2026-04-22 17:03:00.624
EUW1_7827721169,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776724007347,1776725812668,1805,True,Kayn,3,5,9,GOLD III,2026-04-20 22:56:52.668
EUW1_7827646993,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776720098060,1776722408683,2310,True,Briar,15,8,26,GOLD III,2026-04-20 22:00:08.683
EUW1_7827593923,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776717789989,1776719743225,1953,True,Diana,5,8,8,GOLD III,2026-04-20 21:15:43.225
EUW1_7827053437,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776694135106,1776695803737,1669,True,Diana,4,1,5,GOLD III,2026-04-20 14:36:43.737
EUW1_7826871927,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776678772022,1776681573553,2801,False,Briar,8,7,21,GOLD III,2026-04-20 10:39:33.553
EUW1_7826852146,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776676769906,1776678467772,1698,False,Briar,4,7,2,GOLD III,2026-04-20 09:47:47.772
EUW1_7826590429,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776634145700,1776635538596,1393,True,Briar,8,2,7,GOLD III,2026-04-19 21:52:18.596
EUW1_7826356401,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776625606004,1776627680632,2074,True,Briar,15,6,9,GOLD III,2026-04-19 19:41:20.632
EUW1_7826310536,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776623698716,1776625237099,1538,False,Briar,2,13,5,GOLD III,2026-04-19 19:00:37.099
EUW1_7825793921,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776602682582,1776603671195,988,True,Briar,3,1,3,GOLD III,2026-04-19 13:01:11.195
EUW1_7825599663,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776590929537,1776591859350,930,False,Briar,1,5,2,GOLD III,2026-04-19 09:44:19.350
EUW1_7825144651,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776543531462,1776545344847,1813,False,Briar,0,9,6,GOLD III,2026-04-18 20:49:04.847
EUW1_7825071197,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776540929483,1776543235649,2306,False,Briar,9,5,12,GOLD III,2026-04-18 20:13:55.649
EUW1_7824148135,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776466580936,1776468768266,2187,True,Briar,8,6,15,GOLD III,2026-04-17 23:32:48.266
EUW1_7824112702,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776464433918,1776466276614,1843,False,Briar,5,14,9,GOLD III,2026-04-17 22:51:16.614
EUW1_7824053074,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776462032546,1776464098948,2066,True,Briar,19,6,4,GOLD III,2026-04-17 22:14:58.948
EUW1_7823208608,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776415457670,1776417923221,2465,True,Briar,11,7,22,GOLD III,2026-04-17 09:25:23.221
EUW1_7823186955,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776413057424,1776414960927,1903,False,Briar,6,7,8,GOLD III,2026-04-17 08:36:00.927
EUW1_7823180432,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776412624495,1776412706152,82,True,Graves,0,0,0,GOLD III,2026-04-17 07:58:26.152
EUW1_7823173676,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776410124641,1776412037978,1913,True,Briar,12,5,14,GOLD III,2026-04-17 07:47:17.978
EUW1_7823157204,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776407950610,1776409752565,1802,False,Briar,5,8,6,GOLD III,2026-04-17 07:09:12.565
EUW1_7822867604,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776371950136,1776373935599,1985,True,Briar,15,6,16,GOLD III,2026-04-16 21:12:15.599
EUW1_7822304284,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776347955589,1776349940483,1985,True,Briar,8,3,4,GOLD III,2026-04-16 14:32:20.483
EUW1_7822192229,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776340018612,1776342575098,2556,True,Briar,14,10,15,GOLD III,2026-04-16 12:29:35.098
EUW1_7822125620,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776333478992,1776335338365,1859,True,Briar,14,3,3,GOLD III,2026-04-16 10:28:58.365
EUW1_7822095928,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776330740414,1776333115515,2375,False,Kayn,5,10,11,GOLD III,2026-04-16 09:51:55.515
EUW1_7821819484,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776288414298,1776290345704,1931,True,Briar,13,3,14,GOLD III,2026-04-15 21:59:05.704
EUW1_7821773640,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776286721360,1776288126578,1410,True,Briar,7,5,12,GOLD III,2026-04-15 21:22:06.578
EUW1_7821682782,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776282989498,1776285764395,2775,True,Briar,5,16,19,GOLD III,2026-04-15 20:42:44.395
EUW1_7821671177,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776282695943,1776282800954,105,True,Briar,0,0,0,GOLD III,2026-04-15 19:53:20.954
EUW1_7821310181,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776267276386,1776268988585,1712,True,Briar,8,3,12,GOLD III,2026-04-15 16:03:08.585
EUW1_7821235264,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776263291544,1776264916369,1625,True,Briar,14,3,11,GOLD III,2026-04-15 14:55:16.369
EUW1_7821193351,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776260840895,1776262752339,1911,True,Briar,11,1,11,GOLD III,2026-04-15 14:19:12.339
EUW1_7821060831,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776250899933,1776252681058,1781,False,Briar,3,7,4,GOLD III,2026-04-15 11:31:21.058
EUW1_7821021417,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776247753995,1776250293500,2539,False,Briar,7,10,12,GOLD III,2026-04-15 10:51:33.500
EUW1_7821006763,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776245099215,1776247381980,2283,False,Briar,11,9,8,GOLD III,2026-04-15 10:03:01.980
EUW1_7820710538,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776199444647,1776201301057,1856,True,Briar,9,4,11,GOLD III,2026-04-14 21:15:01.057
EUW1_7820645378,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776196777541,1776199144666,2367,True,Briar,16,9,11,GOLD III,2026-04-14 20:39:04.666
EUW1_7820374276,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776184127847,1776186074924,1947,False,Kayn,13,8,10,GOLD III,2026-04-14 17:01:14.924
EUW1_7819705381,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776109787045,1776112843945,3057,True,Briar,17,12,14,GOLD III,2026-04-13 20:40:43.945
EUW1_7819659406,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776108024563,1776109520309,1496,False,Briar,6,9,8,GOLD III,2026-04-13 19:45:20.309
EUW1_7818763104,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776024367252,1776026896789,2529,True,Briar,7,3,15,GOLD III,2026-04-12 20:48:16.789
EUW1_7818704117,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1776022089129,1776023982346,1893,True,Briar,15,8,6,GOLD III,2026-04-12 19:59:42.346
EUW1_7818152619,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1775997303609,1775999331706,2028,True,Briar,5,9,15,GOLD III,2026-04-12 13:08:51.706
EUW1_7817988718,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1775986048309,1775988049948,2002,True,Briar,8,5,11,GOLD III,2026-04-12 10:00:49.948
EUW1_7817979405,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1775985624892,1775985698228,73,False,Briar,0,0,0,GOLD III,2026-04-12 09:21:38.228
EUW1_7817960089,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1775983300368,1775985395451,2095,False,Kayn,8,11,8,GOLD III,2026-04-12 09:16:35.451
EUW1_7817624894,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1775941350221,1775943134954,1785,False,Briar,5,10,4,GOLD III,2026-04-11 21:32:14.954
EUW1_7817559160,pE9HWZ4_4NMlpsxzlNt3lGyBsUjlwXKU2RTDEYefO7SHI67XHZC2bD8c2riGUlAsyxccXQX2xk1gkg,1775938784727,1775940668409,1884,True,Briar,13,3,12,GOLD III,2026-04-11 20:51:08.409
