match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830527518,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776972687618,1776974406126,1718,False,Twitch,3,7,1,SILVER IV,2026-04-23 20:00:06.126
EUW1_7830493619,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776971325807,1776972239245,913,True,Kalista,6,3,1,SILVER IV,2026-04-23 19:23:59.245
EUW1_7830361121,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776965696591,1776967846089,2149,False,Kalista,9,7,6,SILVER IV,2026-04-23 18:10:46.089
EUW1_7830315166,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776963416207,1776965279346,1863,False,Yunara,2,10,1,SILVER IV,2026-04-23 17:27:59.346
EUW1_7830186828,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776955898510,1776958035308,2137,True,AurelionSol,6,10,2,SILVER IV,2026-04-23 15:27:15.308
EUW1_7830145760,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776953204974,1776954126914,922,True,Jax,8,2,3,SILVER IV,2026-04-23 14:22:06.914
EUW1_7830096870,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776949733646,1776952378429,2645,True,Samira,14,11,6,SILVER IV,2026-04-23 13:52:58.429
EUW1_7830069602,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776947399019,1776949458179,2059,True,Kalista,18,4,4,SILVER IV,2026-04-23 13:04:18.179
EUW1_7830026161,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776944222514,1776946444864,2222,False,Ezreal,8,7,7,SILVER IV,2026-04-23 12:14:04.864
EUW1_7829933639,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776933408122,1776935581198,2173,False,Yone,12,7,0,SILVER IV,2026-04-23 09:13:01.198
EUW1_7829912076,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776930329700,1776933013291,2683,True,Aphelios,4,9,2,SILVER IV,2026-04-23 08:30:13.291
EUW1_7829902653,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776927838768,1776929804901,1966,True,Darius,3,8,4,SILVER IV,2026-04-23 07:36:44.901
EUW1_7827923602,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776763696712,1776765754036,2057,True,Ashe,2,9,4,SILVER IV,2026-04-21 10:02:34.036
EUW1_7826350096,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776625250366,1776628213255,2963,False,Brand,12,16,10,SILVER IV,2026-04-19 19:50:13.255
EUW1_7826275605,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776622733601,1776624798115,2064,True,Heimerdinger,16,8,6,SILVER IV,2026-04-19 18:53:18.115
EUW1_7826194016,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776619728757,1776621919574,2191,True,Kalista,11,11,0,SILVER IV,2026-04-19 18:05:19.574
EUW1_7826136781,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776617259972,1776619258412,1998,False,Kalista,4,12,2,SILVER IV,2026-04-19 17:20:58.412
EUW1_7825003535,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776537811388,1776540862968,3051,False,Fizz,12,16,7,SILVER IV,2026-04-18 19:34:22.968
EUW1_7824872792,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776531926278,1776533664534,1738,False,Kalista,7,12,4,SILVER IV,2026-04-18 17:34:24.534
EUW1_7824863582,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776531557305,1776531633872,76,True,Kalista,0,0,0,SILVER IV,2026-04-18 17:00:33.872
EUW1_7824821390,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776529736866,1776530899559,1163,True,Kalista,14,1,0,SILVER IV,2026-04-18 16:48:19.559
EUW1_7824615610,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776519076927,1776520736358,1659,True,Belveth,10,3,14,SILVER IV,2026-04-18 13:58:56.358
EUW1_7824582107,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776517449361,1776518608694,1159,False,Mordekaiser,1,6,0,SILVER IV,2026-04-18 13:23:28.694
EUW1_7821230936,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776262989788,1776265164782,2175,False,Kalista,11,9,2,SILVER IV,2026-04-15 14:59:24.782
EUW1_7821192197,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776260831957,1776262609405,1777,False,Fizz,5,8,5,SILVER IV,2026-04-15 14:16:49.405
EUW1_7820494468,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776189942498,1776192077269,2135,True,Kalista,16,10,8,SILVER IV,2026-04-14 18:41:17.269
EUW1_7820334205,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776181779741,1776183571228,1791,False,Fizz,7,9,7,SILVER IV,2026-04-14 16:19:31.228
EUW1_7820216788,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776173257153,1776175684724,2427,False,Fizz,13,7,7,SILVER IV,2026-04-14 14:08:04.724
EUW1_7819877089,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776117227627,1776118916339,1689,True,Fizz,11,2,11,SILVER IV,2026-04-13 22:21:56.339
EUW1_7819833824,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776114867919,1776116790962,1923,True,Fizz,14,4,7,SILVER IV,2026-04-13 21:46:30.962
EUW1_7819353655,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776092886782,1776095529942,2643,True,Fizz,19,11,11,SILVER IV,2026-04-13 15:52:09.942
EUW1_7819341859,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776092522962,1776092601611,79,False,Viego,0,0,0,SILVER IV,2026-04-13 15:03:21.611
EUW1_7819268600,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776087000206,1776088853851,1854,True,Fizz,15,3,13,SILVER IV,2026-04-13 14:00:53.851
EUW1_7819230147,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1776084397515,1776086705154,2307,True,Fizz,19,7,7,SILVER IV,2026-04-13 13:25:05.154
EUW1_7810113948,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1775329364204,1775331526925,2163,False,Jax,7,14,3,SILVER IV,2026-04-04 19:38:46.925
EUW1_7810047011,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1775326047488,1775328282736,2235,False,Chogath,3,7,10,SILVER IV,2026-04-04 18:44:42.736
EUW1_7809970415,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1775322156804,1775323789040,1632,False,Mel,3,4,2,SILVER IV,2026-04-04 17:29:49.040
EUW1_7809817126,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1775313872146,1775315443247,1571,False,Vayne,3,6,1,SILVER IV,2026-04-04 15:10:43.247
EUW1_7809813567,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1775313463971,1775313577374,113,True,Kalista,0,0,0,SILVER IV,2026-04-04 14:39:37.374
EUW1_7809764924,pZTdLFNFEXtt5tlGkecBLmGBgWAszJtCDiL5-hbdKY3isU2edFH-Ol6CgLhjgmSgfL4dTx-6YstX9g,1775310830234,1775312895663,2065,True,Kalista,17,6,2,SILVER IV,2026-04-04 14:28:15.663
