match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7840323209,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1777753279108,1777755113647,1834,True,Brand,5,9,14,GOLD IV,2026-05-02 20:51:53.647
EUW1_7839859053,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1777730596319,1777732367101,1771,False,Brand,2,11,8,GOLD IV,2026-05-02 14:32:47.101
EUW1_7833015178,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1777167170300,1777168616198,1446,False,Yuumi,0,3,8,GOLD IV,2026-04-26 01:56:56.198
EUW1_7833006516,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1777165115505,1777166813405,1698,True,Darius,12,4,9,GOLD IV,2026-04-26 01:26:53.405
EUW1_7832982413,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1777162866141,1777164659705,1793,False,Pyke,6,12,9,GOLD IV,2026-04-26 00:50:59.705
EUW1_7832959657,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1777160355406,1777162580569,2225,True,Yuumi,3,5,31,GOLD IV,2026-04-26 00:16:20.569
EUW1_7831912723,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1777081429916,1777083053736,1624,False,Thresh,1,12,13,GOLD IV,2026-04-25 02:10:53.736
EUW1_7831903547,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1777079367269,1777080990099,1623,True,Yuumi,0,2,18,GOLD IV,2026-04-25 01:36:30.099
EUW1_7827594415,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776717971728,1776719552946,1581,False,Yuumi,1,1,4,GOLD IV,2026-04-20 21:12:32.946
EUW1_7827527202,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776715457996,1776717699553,2241,True,Yuumi,0,1,25,GOLD IV,2026-04-20 20:41:39.553
EUW1_7827518548,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776715166663,1776715235538,69,False,Yuumi,0,0,0,GOLD IV,2026-04-20 20:00:35.538
EUW1_7827165387,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776700490193,1776701628415,1138,True,Zac,3,3,10,GOLD IV,2026-04-20 16:13:48.415
EUW1_7827125104,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776698208925,1776700154444,1945,False,Garen,10,11,1,GOLD IV,2026-04-20 15:49:14.444
EUW1_7826713224,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776642365339,1776644275239,1910,False,Nidalee,5,11,7,GOLD IV,2026-04-20 00:17:55.239
EUW1_7826693113,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776640323402,1776642043892,1720,True,Garen,9,5,8,GOLD IV,2026-04-19 23:40:43.892
EUW1_7826667834,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776638045490,1776639900147,1854,False,Renekton,5,5,6,GOLD IV,2026-04-19 23:05:00.147
EUW1_7826621667,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776635217607,1776637413213,2195,True,DrMundo,4,7,24,GOLD IV,2026-04-19 22:23:33.213
EUW1_7826305903,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776623672494,1776625590349,1918,True,Yuumi,0,1,24,GOLD IV,2026-04-19 19:06:30.349
EUW1_7826242885,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776621424203,1776623252658,1828,True,Teemo,10,5,8,GOLD IV,2026-04-19 18:27:32.658
EUW1_7826187509,pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,1776619124876,1776621134938,2010,True,Garen,12,7,6,GOLD IV,2026-04-19 17:52:14.938
