match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828303937,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776790940375,1776792750179,1810,True,Zyra,4,4,9,GOLD IV,2026-04-21 17:32:30.179
EUW1_7828256791,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776788572566,1776790232390,1660,False,Zyra,1,6,10,GOLD IV,2026-04-21 16:50:32.390
EUW1_7828082566,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776777835090,1776780174817,2340,False,Zyra,0,6,13,GOLD IV,2026-04-21 14:02:54.817
EUW1_7828073567,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776777557759,1776777630772,73,True,Senna,0,0,0,GOLD IV,2026-04-21 13:20:30.772
EUW1_7828046505,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776775059277,1776777090156,2031,False,Zyra,1,8,7,GOLD IV,2026-04-21 13:11:30.156
EUW1_7827942880,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776766064069,1776768802263,2738,True,Zyra,3,10,13,GOLD IV,2026-04-21 10:53:22.263
EUW1_7827920207,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776763910734,1776765657011,1746,True,Zyra,2,7,11,GOLD IV,2026-04-21 10:00:57.011
EUW1_7826890414,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776681317634,1776683152559,1835,True,Zyra,5,2,16,GOLD IV,2026-04-20 11:05:52.559
EUW1_7826877099,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776679549303,1776681043582,1494,False,Milio,2,5,9,GOLD IV,2026-04-20 10:30:43.582
EUW1_7826862715,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776677483263,1776679022746,1539,True,Zyra,0,0,5,GOLD IV,2026-04-20 09:57:02.746
EUW1_7823941132,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776457898241,1776459663265,1765,True,Zyra,5,1,12,GOLD IV,2026-04-17 21:01:03.265
EUW1_7823888491,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776455715546,1776457537075,1821,False,Zyra,8,5,10,GOLD IV,2026-04-17 20:25:37.075
EUW1_7823320581,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776425781909,1776426314039,532,True,Zyra,0,0,1,GOLD IV,2026-04-17 11:45:14.039
EUW1_7822864311,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776372036597,1776373957386,1921,True,Zyra,4,4,10,GOLD IV,2026-04-16 21:12:37.386
EUW1_7822858676,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776371704423,1776371797399,93,False,Zyra,0,0,0,GOLD IV,2026-04-16 20:36:37.399
EUW1_7822808686,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776369818040,1776370983394,1165,False,Milio,1,0,9,GOLD IV,2026-04-16 20:23:03.394
EUW1_7820972519,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776240940055,1776243386814,2447,False,Zyra,4,8,15,GOLD IV,2026-04-15 08:56:26.814
EUW1_7820418768,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776186331189,1776188525246,2194,False,Milio,0,7,18,GOLD IV,2026-04-14 17:42:05.246
EUW1_7820380044,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776184314860,1776186077843,1763,True,Zyra,2,4,18,GOLD IV,2026-04-14 17:01:17.843
EUW1_7820102116,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776162205754,1776163853263,1647,True,Zyra,7,1,14,GOLD IV,2026-04-14 10:50:53.263
EUW1_7820084027,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776159689483,1776161898154,2209,False,Zyra,1,7,5,GOLD IV,2026-04-14 10:18:18.154
EUW1_7818710580,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1776022064909,1776024257713,2193,False,Zyra,1,8,9,GOLD IV,2026-04-12 20:04:17.713
EUW1_7816428143,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1775851323129,1775853855850,2533,True,Zyra,5,2,15,GOLD IV,2026-04-10 20:44:15.850
EUW1_7816368098,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1775848811320,1775851026979,2216,False,Zyra,2,11,12,GOLD IV,2026-04-10 19:57:06.979
EUW1_7815864441,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1775819630432,1775821999628,2369,True,Zyra,1,1,16,GOLD IV,2026-04-10 11:53:19.628
EUW1_7812936452,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1775555504347,1775557190974,1686,False,Zyra,1,4,6,GOLD IV,2026-04-07 10:19:50.974
EUW1_7812921770,pxCDJZ__AuHrEGrnC0muqx-aPpFr3I738uHuSe7O_iprPSaYULd89y3yOpvaLp1LutDrDSlBiLaaaw,1775552537301,1775555061611,2524,True,Zyra,6,4,20,GOLD IV,2026-04-07 09:44:21.611
