match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7821983057,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776302216650,1776304013635,1797,False,Brand,1,8,6,SILVER II,2026-04-16 01:46:53.635
EUW1_7821968807,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776298991504,1776301461665,2470,False,Brand,19,15,13,SILVER II,2026-04-16 01:04:21.665
EUW1_7821946857,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776296724728,1776298767393,2043,False,Brand,5,8,9,SILVER II,2026-04-16 00:19:27.393
EUW1_7821913903,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776294161708,1776296468747,2307,False,Brand,10,14,13,SILVER II,2026-04-15 23:41:08.747
EUW1_7821878935,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776291844406,1776293806410,1962,True,Nautilus,1,9,31,SILVER II,2026-04-15 22:56:46.410
EUW1_7821831547,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776289186560,1776291413650,2227,True,Swain,4,6,18,SILVER II,2026-04-15 22:16:53.650
EUW1_7821782371,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776287365310,1776288934846,1569,False,Brand,4,13,7,SILVER II,2026-04-15 21:35:34.846
EUW1_7821746703,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776285532480,1776287102340,1570,True,Brand,3,6,11,SILVER II,2026-04-15 21:05:02.340
EUW1_7821673301,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776282834555,1776285194474,2360,False,Brand,9,11,17,SILVER II,2026-04-15 20:33:14.474
EUW1_7821670731,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776282518095,1776282607392,89,True,Brand,0,0,0,SILVER II,2026-04-15 19:50:07.392
EUW1_7821114199,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1776255291748,1776256958013,1666,True,Brand,11,5,15,SILVER II,2026-04-15 12:42:38.013
EUW1_7816113765,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775836111079,1775837522048,1411,True,Brand,3,5,15,SILVER II,2026-04-10 16:12:02.048
EUW1_7815807870,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775813422831,1775816043684,2621,False,Brand,10,10,14,SILVER II,2026-04-10 10:14:03.684
EUW1_7815690856,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775784711127,1775786722981,2012,False,Brand,3,10,15,SILVER II,2026-04-10 02:05:22.981
EUW1_7815680966,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775782793241,1775784348511,1555,True,Brand,2,2,15,SILVER II,2026-04-10 01:25:48.511
EUW1_7815668773,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775780610151,1775782472436,1862,False,Brand,7,8,11,SILVER II,2026-04-10 00:54:32.436
EUW1_7815655963,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775779335690,1775780317420,982,False,Lux,1,2,1,SILVER II,2026-04-10 00:18:37.420
EUW1_7815633005,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775777010056,1775779018074,2008,True,Nautilus,3,6,16,SILVER II,2026-04-09 23:56:58.074
EUW1_7815605012,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775774662396,1775776256966,1594,False,Brand,6,14,8,SILVER II,2026-04-09 23:10:56.966
EUW1_7815566776,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775771977504,1775774359396,2382,True,Brand,8,12,18,SILVER II,2026-04-09 22:39:19.396
EUW1_7815520237,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775769766592,1775771713566,1952,False,Pyke,9,7,10,SILVER II,2026-04-09 21:55:13.566
EUW1_7815236362,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775757636834,1775759946658,2310,False,Brand,1,13,11,SILVER II,2026-04-09 18:39:06.658
EUW1_7814965156,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775740926368,1775743517145,2591,False,Brand,14,12,19,SILVER II,2026-04-09 14:05:17.145
EUW1_7814918485,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775735992889,1775739023000,3030,False,Brand,5,14,25,SILVER II,2026-04-09 12:50:23.000
EUW1_7814859532,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775729967685,1775733178296,3211,False,Brand,10,11,15,SILVER II,2026-04-09 11:12:58.296
EUW1_7814819942,q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,1775725354417,1775727017663,1663,True,Brand,5,8,16,SILVER II,2026-04-09 09:30:17.663
