match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7821932117,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1776295722796,1776297477358,1754,False,DrMundo,2,9,1,SILVER IV,2026-04-15 23:57:57.358
EUW1_7821908887,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1776293564730,1776295411008,1846,False,Smolder,6,10,7,SILVER IV,2026-04-15 23:23:31.008
EUW1_7802162679,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1774720346460,1774722895979,2549,True,Smolder,18,8,9,SILVER IV,2026-03-28 18:34:55.979
EUW1_7749420104,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1771896505117,1771898511632,2006,False,Smolder,12,8,7,SILVER IV,2026-02-24 02:01:51.632
EUW1_7749391776,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1771894419053,1771895997870,1579,False,Sivir,3,7,3,SILVER IV,2026-02-24 01:19:57.870
EUW1_7746862529,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1771783551432,1771785535456,1984,True,Sivir,9,8,14,SILVER IV,2026-02-22 18:38:55.456
EUW1_7713524684,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1770061354346,1770064250183,2896,False,Sivir,7,11,16,SILVER IV,2026-02-02 20:30:50.183
EUW1_7706206910,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1769635590061,1769637978191,2388,True,Sivir,8,9,11,SILVER IV,2026-01-28 22:06:18.191
EUW1_7706036277,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1769630779606,1769633387915,2608,True,Sivir,18,6,9,SILVER IV,2026-01-28 20:49:47.915
EUW1_7697139946,qczb74wtbKhhkEyc_tlcDzRyUpqC17DAVESCPJg2YFKSo0HUIXHKJyLgHkXj-8aI5B9UeFHFcTgaAg,1769116822554,1769118951354,2129,True,Galio,2,4,21,SILVER IV,2026-01-22 21:55:51.354
