match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7839786528,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777726169393,1777728017772,1848,False,Smolder,8,11,6,SILVER III,2026-05-02 13:20:17.772
EUW1_7839742122,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777723851581,1777725854053,2002,True,Smolder,7,8,10,SILVER III,2026-05-02 12:44:14.053
EUW1_7839710993,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777721745213,1777723484556,1739,True,Smolder,8,11,19,SILVER III,2026-05-02 12:04:44.556
EUW1_7839672510,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777718777997,1777721497351,2719,True,Nilah,11,19,12,SILVER III,2026-05-02 11:31:37.351
EUW1_7834853258,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777317605024,1777319705501,2100,False,Caitlyn,4,15,10,SILVER III,2026-04-27 19:55:05.501
EUW1_7834728024,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777312474891,1777314742800,2268,True,Yunara,4,16,11,SILVER III,2026-04-27 18:32:22.800
EUW1_7834687904,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777310599212,1777312209613,1615,False,Nilah,8,12,4,SILVER III,2026-04-27 17:50:09.613
EUW1_7834446502,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777296472107,1777299199387,2727,False,Senna,4,18,13,SILVER III,2026-04-27 14:13:19.387
EUW1_7834080742,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777241080855,1777243034213,1953,True,Smolder,12,9,13,SILVER III,2026-04-26 22:37:14.213
EUW1_7834058853,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777239876320,1777240857034,981,True,Ashe,7,4,5,SILVER III,2026-04-26 22:00:57.034
EUW1_7834007430,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777237722569,1777239450436,1728,True,AurelionSol,13,5,11,SILVER III,2026-04-26 21:37:30.436
EUW1_7833961721,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777235514081,1777237405746,1892,True,Yunara,5,8,14,SILVER III,2026-04-26 21:03:25.746
EUW1_7833542691,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777218099711,1777220444686,2345,False,Nilah,4,14,14,SILVER III,2026-04-26 16:20:44.686
EUW1_7833476757,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777215144483,1777216916944,1772,True,Ashe,6,10,10,SILVER III,2026-04-26 15:21:56.944
EUW1_7833376542,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777210202218,1777212300468,2098,True,Caitlyn,8,13,11,SILVER III,2026-04-26 14:05:00.468
EUW1_7833341585,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777208346441,1777209942247,1596,False,Yunara,2,8,3,SILVER III,2026-04-26 13:25:42.247
EUW1_7832606158,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777143806138,1777145396453,1590,False,Senna,3,5,3,SILVER III,2026-04-25 19:29:56.453
EUW1_7832564628,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777141483281,1777143441034,1958,False,Senna,4,13,8,SILVER III,2026-04-25 18:57:21.034
EUW1_7832523493,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777139231179,1777141231092,2000,True,Nilah,27,9,13,SILVER III,2026-04-25 18:20:31.092
EUW1_7832480284,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777137201413,1777138923726,1722,False,Twitch,11,13,7,SILVER III,2026-04-25 17:42:03.726
EUW1_7832422989,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777134073439,1777135456618,1383,False,Nilah,0,8,1,SILVER III,2026-04-25 16:44:16.618
EUW1_7830982736,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777024581613,1777026562084,1980,True,AurelionSol,15,8,16,SILVER III,2026-04-24 10:29:22.084
EUW1_7830963632,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777022318233,1777024255141,1937,True,AurelionSol,11,11,15,SILVER III,2026-04-24 09:50:55.141
EUW1_7830939938,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777019810096,1777022096979,2287,False,Ashe,7,13,10,SILVER III,2026-04-24 09:14:56.979
EUW1_7830929474,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1777017463333,1777019491096,2028,True,Yunara,11,6,7,SILVER III,2026-04-24 08:31:31.096
EUW1_7830824710,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1776988668700,1776990729772,2061,False,Caitlyn,5,13,11,SILVER III,2026-04-24 00:32:09.772
EUW1_7830819268,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1776988296439,1776988389349,93,True,Senna,0,0,0,SILVER III,2026-04-23 23:53:09.349
EUW1_7830799522,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1776985719499,1776988004648,2285,True,AurelionSol,16,12,13,SILVER III,2026-04-23 23:46:44.648
EUW1_7830767173,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1776983799318,1776985473773,1675,True,Caitlyn,9,11,7,SILVER III,2026-04-23 23:04:33.773
EUW1_7830730419,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1776981553403,1776983501303,1948,True,Jhin,6,8,14,SILVER III,2026-04-23 22:31:41.303
EUW1_7830702513,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1776979758682,1776981302472,1544,False,Smolder,4,12,7,SILVER III,2026-04-23 21:55:02.472
EUW1_7829978613,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1776938808841,1776940563491,1756,False,Smolder,3,12,9,SILVER III,2026-04-23 10:36:03.491
EUW1_7829963852,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1776937346524,1776938547088,1200,True,Lucian,13,5,5,SILVER III,2026-04-23 10:02:27.088
EUW1_7829944590,r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,1776935114895,1776937102315,1987,True,Ashe,17,12,3,SILVER III,2026-04-23 09:38:22.315
