match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837080768,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777498682204,1777500997133,2315,True,Kayle,11,11,8,IRON II,2026-04-29 22:16:37.133
EUW1_7837038170,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777496761251,1777498442485,1682,False,Kayle,1,12,0,IRON II,2026-04-29 21:34:02.485
EUW1_7836986668,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777494700215,1777496323242,1623,False,Kayle,4,9,3,IRON II,2026-04-29 20:58:43.242
EUW1_7836927234,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777492711470,1777494366857,1656,False,Kayle,3,8,0,IRON II,2026-04-29 20:26:06.857
EUW1_7836522818,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777475083776,1777477076758,1993,True,Shaco,7,5,9,IRON II,2026-04-29 15:37:56.758
EUW1_7836048898,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777414426211,1777416017240,1591,True,Kayle,7,4,8,IRON II,2026-04-28 22:40:17.240
EUW1_7836013888,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777412305823,1777414105420,1799,False,Kayle,5,14,2,IRON II,2026-04-28 22:08:25.420
EUW1_7835957490,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777409442657,1777411938060,2495,False,Kayle,13,17,9,IRON II,2026-04-28 21:32:18.060
EUW1_7835891826,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777406664228,1777408815529,2151,False,Kayle,0,15,2,IRON II,2026-04-28 20:40:15.529
EUW1_7835791341,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777402570437,1777404895841,2325,True,Kayle,17,9,6,IRON II,2026-04-28 19:34:55.841
EUW1_7835065843,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777326097080,1777328385901,2289,False,Sett,5,11,3,IRON II,2026-04-27 22:19:45.901
EUW1_7834264504,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777278126433,1777280660978,2535,False,Jax,13,7,8,IRON II,2026-04-27 09:04:20.978
EUW1_7834147493,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777245872327,1777247497100,1625,False,Jax,7,7,3,IRON II,2026-04-26 23:51:37.100
EUW1_7834122003,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777244126872,1777245649412,1522,False,Jax,6,7,1,IRON II,2026-04-26 23:20:49.412
EUW1_7834113928,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777243581313,1777243773776,192,True,Jax,0,1,0,IRON II,2026-04-26 22:49:33.776
EUW1_7834092826,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777241927015,1777243098302,1171,False,Jax,2,7,3,IRON II,2026-04-26 22:38:18.302
EUW1_7833140084,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777195509550,1777197198327,1689,False,Shen,3,7,9,IRON II,2026-04-26 09:53:18.327
EUW1_7831770985,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1777068828240,1777071850269,3022,True,Yorick,3,11,10,IRON II,2026-04-24 23:04:10.269
EUW1_7830750666,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1776982231415,1776984147505,1916,False,Yorick,2,6,5,IRON II,2026-04-23 22:42:27.505
EUW1_7829052796,rLsaLl7rblUYaJmNMnuh0Yva2hvo3MAIXw9Qi1yoWqQ79Z0sw0xiOvlclVKLABchJML0PTaGOweRiA,1776860011630,1776862179064,2167,True,Sett,9,6,6,IRON II,2026-04-22 12:49:39.064
