match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7843044438,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777940630874,1777942542176,1911,False,Naafiri,3,12,0,GOLD IV,2026-05-05 00:55:42.176
EUW1_7843035227,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777939109842,1777940312449,1202,False,Fizz,6,7,3,GOLD IV,2026-05-05 00:18:32.449
EUW1_7843028666,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777937708271,1777938848990,1141,True,Naafiri,6,4,4,GOLD IV,2026-05-04 23:54:08.990
EUW1_7843002606,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777935641779,1777937366262,1724,True,Naafiri,4,8,4,GOLD IV,2026-05-04 23:29:26.262
EUW1_7842967560,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777932904117,1777935212249,2308,False,Naafiri,9,12,10,GOLD IV,2026-05-04 22:53:32.249
EUW1_7842197017,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777903990350,1777906135036,2144,True,Fizz,14,7,1,GOLD IV,2026-05-04 14:48:55.036
EUW1_7842160671,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777901520852,1777903042305,1521,False,Naafiri,6,11,5,GOLD IV,2026-05-04 13:57:22.305
EUW1_7842131956,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777899549111,1777901278916,1730,True,Naafiri,6,5,6,GOLD IV,2026-05-04 13:27:58.916
EUW1_7842063904,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777893995130,1777896842677,2847,True,Naafiri,17,9,22,GOLD IV,2026-05-04 12:14:02.677
EUW1_7842055167,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777893692336,1777893762442,70,False,Naafiri,0,0,0,GOLD IV,2026-05-04 11:22:42.442
EUW1_7842023779,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777890130694,1777892557280,2426,True,Naafiri,11,7,17,GOLD IV,2026-05-04 11:02:37.280
EUW1_7841999648,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777887277549,1777889840378,2563,False,Fizz,14,9,9,GOLD IV,2026-05-04 10:17:20.378
EUW1_7841684872,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777841809234,1777844264340,2455,False,Sion,13,14,11,GOLD IV,2026-05-03 21:37:44.340
EUW1_7841580259,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777837973473,1777840184158,2211,True,Fizz,6,11,17,GOLD IV,2026-05-03 20:29:44.158
EUW1_7841531105,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777836192027,1777837717287,1525,False,Fizz,6,6,7,GOLD IV,2026-05-03 19:48:37.287
EUW1_7840224718,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777748958716,1777751047732,2089,False,Fizz,13,5,6,GOLD IV,2026-05-02 19:44:07.732
EUW1_7840157235,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777746056757,1777747869157,1812,False,Fizz,7,8,3,GOLD IV,2026-05-02 18:51:09.157
EUW1_7840126010,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777744430925,1777745524751,1094,True,Fizz,13,1,0,GOLD IV,2026-05-02 18:12:04.751
EUW1_7838583301,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777638206661,1777640350138,2143,True,Fizz,11,4,15,GOLD IV,2026-05-01 12:59:10.138
EUW1_7838560735,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777636342919,1777637621487,1278,True,Fizz,12,2,2,GOLD IV,2026-05-01 12:13:41.487
EUW1_7837411809,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777547838141,1777549140998,1303,False,Swain,4,6,2,GOLD IV,2026-04-30 11:39:00.998
EUW1_7837396686,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777546043895,1777547541218,1497,False,MasterYi,2,6,2,GOLD IV,2026-04-30 11:12:21.218
EUW1_7837363209,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777543484125,1777545355526,1871,False,Twitch,3,9,3,GOLD IV,2026-04-30 10:35:55.526
EUW1_7837352734,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777541809903,1777543222084,1412,False,Tristana,3,10,4,GOLD IV,2026-04-30 10:00:22.084
EUW1_7836783100,rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,1777487255414,1777488871117,1615,False,Sion,1,6,4,GOLD IV,2026-04-29 18:54:31.117
