match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828439238,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776796565862,1776798452874,1887,False,Vladimir,1,7,5,BRONZE I,2026-04-21 19:07:32.874
EUW1_7825405592,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776555842128,1776557250047,1408,True,Lucian,3,2,11,BRONZE I,2026-04-19 00:07:30.047
EUW1_7825359281,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776553169579,1776554790589,1621,False,Smolder,2,5,6,BRONZE I,2026-04-18 23:26:30.589
EUW1_7825267540,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776548452796,1776549922646,1470,True,Garen,3,1,1,BRONZE I,2026-04-18 22:05:22.646
EUW1_7824440225,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776508684764,1776511007763,2323,True,Ornn,1,5,13,BRONZE I,2026-04-18 11:16:47.763
EUW1_7824083994,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776463242173,1776464659688,1417,False,Zaahen,5,3,1,BRONZE I,2026-04-17 22:24:19.688
EUW1_7822525305,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776358997653,1776360308775,1311,False,Zac,3,3,4,BRONZE I,2026-04-16 17:25:08.775
EUW1_7821503855,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776276033569,1776277694284,1661,False,Caitlyn,3,7,4,BRONZE I,2026-04-15 18:28:14.284
EUW1_7821457132,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776274039073,1776274962847,924,True,Smolder,5,0,1,BRONZE I,2026-04-15 17:42:42.847
EUW1_7820448068,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776188028175,1776190447716,2420,False,Vi,6,10,12,BRONZE I,2026-04-14 18:14:07.716
EUW1_7820405560,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776185469073,1776187311076,1842,True,Teemo,5,6,4,BRONZE I,2026-04-14 17:21:51.076
EUW1_7819419014,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776096881621,1776099452713,2571,True,Morgana,2,5,19,BRONZE I,2026-04-13 16:57:32.713
EUW1_7818432001,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1776010833185,1776012760800,1927,False,Smolder,4,9,5,BRONZE I,2026-04-12 16:52:40.800
EUW1_7783704661,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1773703788362,1773705736181,1948,True,Nocturne,4,6,6,BRONZE I,2026-03-17 00:02:16.181
EUW1_7783686299,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1773703337211,1773703406429,69,False,Bard,0,0,0,BRONZE I,2026-03-16 23:23:26.429
EUW1_7508381832,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1756242057596,1756244123252,2065,False,Zac,2,7,6,BRONZE I,2025-08-26 21:35:23.252
EUW1_7507780768,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1756211405651,1756213834631,2429,False,Lux,5,6,17,BRONZE I,2025-08-26 13:10:34.631
EUW1_7505728737,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1756045527107,1756046554365,1027,False,Warwick,3,3,1,BRONZE I,2025-08-24 14:42:34.365
EUW1_7505258033,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1755994983795,1755995931984,948,False,Volibear,0,3,3,BRONZE I,2025-08-24 00:38:51.984
EUW1_7504127525,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1755905868457,1755907808007,1939,True,Caitlyn,8,2,10,BRONZE I,2025-08-23 00:10:08.007
EUW1_7504089285,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1755903572598,1755905321935,1749,False,FiddleSticks,4,7,12,BRONZE I,2025-08-22 23:28:41.935
EUW1_7503011969,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1755817181063,1755818862383,1681,True,Lux,3,0,9,BRONZE I,2025-08-21 23:27:42.383
EUW1_7502897758,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1755810979461,1755812497826,1518,True,JarvanIV,5,3,10,BRONZE I,2025-08-21 21:41:37.826
EUW1_7499337998,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1755538334542,1755540692287,2357,False,Lux,13,9,15,BRONZE I,2025-08-18 18:11:32.287
EUW1_7499139764,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1755527639917,1755529305140,1665,True,Lux,3,3,12,BRONZE I,2025-08-18 15:01:45.140
EUW1_7498968912,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1755516321511,1755518904569,2583,False,Velkoz,7,6,16,BRONZE I,2025-08-18 12:08:24.569
EUW1_7498505375,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1755462203353,1755464195279,1992,True,Lux,4,4,17,BRONZE I,2025-08-17 20:56:35.279
EUW1_7483690336,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1754330676443,1754333212904,2536,False,Nocturne,9,7,17,BRONZE I,2025-08-04 18:46:52.904
EUW1_7475559584,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1753731667302,1753733486908,1819,False,Mel,3,4,2,BRONZE I,2025-07-28 20:11:26.908
EUW1_7474548094,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1753641804570,1753644207498,2403,True,Nocturne,6,5,10,BRONZE I,2025-07-27 19:23:27.498
EUW1_7473390175,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1753547767057,1753547938640,171,False,Shen,0,1,0,BRONZE I,2025-07-26 16:38:58.640
EUW1_7450811972,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1751564751045,1751566559703,1808,True,Bard,3,3,11,BRONZE I,2025-07-03 18:15:59.703
EUW1_7450543298,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1751547577276,1751548899581,1322,False,Nocturne,4,7,2,BRONZE I,2025-07-03 13:21:39.581
EUW1_7450318368,sK2Gr6A8E0clb9bOs6AwzY4fDCjX-pnGFD7oOrRN5nZ7EA0PD0UhmPQbRZEmacSlnfmcDVYIcGLd8A,1751507149563,1751508883880,1734,False,Senna,1,6,5,BRONZE I,2025-07-03 02:14:43.880
