match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830741341,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776982065474,1776983900607,1835,True,Illaoi,1,10,1,GOLD IV,2026-04-23 22:38:20.607
EUW1_7824288502,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776486254175,1776487651420,1397,True,Illaoi,3,0,5,GOLD IV,2026-04-18 04:47:31.420
EUW1_7824277757,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776482655042,1776484407967,1753,False,Illaoi,2,7,3,GOLD IV,2026-04-18 03:53:27.967
EUW1_7824269975,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776479906383,1776481918818,2012,False,Illaoi,3,8,6,GOLD IV,2026-04-18 03:11:58.818
EUW1_7824243008,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776474337698,1776475450294,1113,True,Illaoi,6,3,1,GOLD IV,2026-04-18 01:24:10.294
EUW1_7824232635,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776472599848,1776473966176,1366,True,Illaoi,1,4,3,GOLD IV,2026-04-18 00:59:26.176
EUW1_7823139459,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776397889206,1776399696506,1807,True,Brand,11,6,11,GOLD IV,2026-04-17 04:21:36.506
EUW1_7823125563,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776392158018,1776394315798,2158,False,Illaoi,10,9,4,GOLD IV,2026-04-17 02:51:55.798
EUW1_7823110701,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776388799317,1776391022302,2223,False,Illaoi,7,3,3,GOLD IV,2026-04-17 01:57:02.302
EUW1_7823093554,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776385402999,1776387142463,1739,False,Illaoi,16,6,2,GOLD IV,2026-04-17 00:52:22.463
EUW1_7822965924,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776376268770,1776378652701,2384,False,Illaoi,7,6,4,GOLD IV,2026-04-16 22:30:52.701
EUW1_7822834847,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776370743725,1776373088130,2344,True,Illaoi,8,9,7,GOLD IV,2026-04-16 20:58:08.130
EUW1_7822014742,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776311338883,1776312905900,1567,False,Ahri,3,6,8,GOLD IV,2026-04-16 04:15:05.900
EUW1_7822007130,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776308822372,1776310861014,2039,True,Brand,8,6,15,GOLD IV,2026-04-16 03:41:01.014
EUW1_7821998117,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776305576872,1776307328670,1752,False,Illaoi,6,5,5,GOLD IV,2026-04-16 02:42:08.670
EUW1_7821986430,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776303403951,1776305180954,1777,False,TahmKench,3,7,2,GOLD IV,2026-04-16 02:06:20.954
EUW1_7821974988,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776300484753,1776302319122,1834,True,Illaoi,12,3,5,GOLD IV,2026-04-16 01:18:39.122
EUW1_7821959707,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776297935530,1776299834669,1899,True,Illaoi,8,1,1,GOLD IV,2026-04-16 00:37:14.669
EUW1_7821700670,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776283651848,1776285219813,1568,False,Illaoi,4,7,2,GOLD IV,2026-04-15 20:33:39.813
EUW1_7821631508,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776280992725,1776282562323,1569,False,Illaoi,4,7,11,GOLD IV,2026-04-15 19:49:22.323
EUW1_7821537526,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776277234003,1776279781999,2548,True,Illaoi,3,11,6,GOLD IV,2026-04-15 19:03:01.999
EUW1_7821424596,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776272486470,1776274566361,2080,True,Illaoi,8,6,7,GOLD IV,2026-04-15 17:36:06.361
EUW1_7821370398,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776270314231,1776272174128,1860,False,Illaoi,3,13,5,GOLD IV,2026-04-15 16:56:14.128
EUW1_7820920958,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776219346899,1776221316474,1970,True,Illaoi,8,7,5,GOLD IV,2026-04-15 02:48:36.474
EUW1_7820908367,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776216925449,1776218376831,1451,True,Illaoi,4,2,10,GOLD IV,2026-04-15 01:59:36.831
EUW1_7820903329,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776215371273,1776215772139,401,True,Illaoi,0,0,0,GOLD IV,2026-04-15 01:16:12.139
EUW1_7820887864,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776212050186,1776213617049,1567,True,Illaoi,8,3,5,GOLD IV,2026-04-15 00:40:17.049
EUW1_7820867872,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776209583796,1776211435219,1851,True,Illaoi,5,8,6,GOLD IV,2026-04-15 00:03:55.219
EUW1_7820838549,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776206593605,1776208969208,2375,False,Illaoi,4,6,12,GOLD IV,2026-04-14 23:22:49.208
EUW1_7820739323,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776201225577,1776203754043,2528,True,Illaoi,14,7,9,GOLD IV,2026-04-14 21:55:54.043
EUW1_7820678864,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776198143831,1776199866919,1723,True,Illaoi,14,4,2,GOLD IV,2026-04-14 20:51:06.919
EUW1_7820653581,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776196912346,1776197850012,938,True,Illaoi,5,1,0,GOLD IV,2026-04-14 20:17:30.012
EUW1_7820596006,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776194582699,1776196335399,1753,False,TahmKench,4,10,8,GOLD IV,2026-04-14 19:52:15.399
EUW1_7820543429,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776192436606,1776194257897,1821,False,Blitzcrank,0,10,7,GOLD IV,2026-04-14 19:17:37.897
EUW1_7820477897,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776189362992,1776191799813,2437,False,Illaoi,12,6,7,GOLD IV,2026-04-14 18:36:39.813
EUW1_7820409088,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1776185968279,1776188502998,2535,True,Brand,4,7,12,GOLD IV,2026-04-14 17:41:42.998
EUW1_7779496273,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1773515217205,1773517012186,1795,False,Ahri,2,7,3,GOLD IV,2026-03-14 19:36:52.186
EUW1_7779433128,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1773513071612,1773514782383,1711,False,Brand,5,10,14,GOLD IV,2026-03-14 18:59:42.383
EUW1_7774770024,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1773268170490,1773270742627,2572,False,Naafiri,13,9,7,GOLD IV,2026-03-11 23:12:22.627
EUW1_7774640952,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1773263988144,1773265936864,1949,False,Ahri,1,11,2,GOLD IV,2026-03-11 21:52:16.864
EUW1_7752807757,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772063940150,1772066021689,2081,False,Veigar,4,9,7,GOLD IV,2026-02-26 00:33:41.689
EUW1_7752750965,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772061316725,1772062741383,1425,False,Veigar,2,9,4,GOLD IV,2026-02-25 23:39:01.383
EUW1_7752694942,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772059084961,1772060839692,1755,False,Veigar,5,8,0,GOLD IV,2026-02-25 23:07:19.692
EUW1_7752620565,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772056461239,1772058572985,2112,True,Veigar,8,4,5,GOLD IV,2026-02-25 22:29:32.985
EUW1_7752536699,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772054173604,1772055888254,1715,False,Brand,6,13,7,GOLD IV,2026-02-25 21:44:48.254
EUW1_7752519151,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772053706152,1772053803444,97,True,Veigar,0,0,0,GOLD IV,2026-02-25 21:10:03.444
EUW1_7752427654,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772051055259,1772052999040,1944,False,Veigar,8,10,5,GOLD IV,2026-02-25 20:56:39.040
EUW1_7752322343,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772048216786,1772050481608,2265,False,Brand,1,12,9,GOLD IV,2026-02-25 20:14:41.608
EUW1_7752170725,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772043570978,1772045410028,1839,False,Veigar,6,4,4,GOLD IV,2026-02-25 18:50:10.028
EUW1_7752077424,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1772040695250,1772042067306,1372,False,Veigar,1,8,2,GOLD IV,2026-02-25 17:54:27.306
EUW1_7751148903,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771980481555,1771982191188,1710,True,Naafiri,11,4,3,GOLD IV,2026-02-25 01:16:31.188
EUW1_7751106443,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771978270740,1771980195969,1925,True,Brand,8,9,13,GOLD IV,2026-02-25 00:43:15.969
EUW1_7751102960,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771977859309,1771977942404,83,True,Veigar,0,0,0,GOLD IV,2026-02-25 00:05:42.404
EUW1_7751052504,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771975398694,1771977454539,2056,False,Veigar,7,12,5,GOLD IV,2026-02-24 23:57:34.539
EUW1_7750951058,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771971917659,1771973934007,2016,True,Veigar,5,4,0,GOLD IV,2026-02-24 22:58:54.007
EUW1_7750658286,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771963998177,1771966217432,2219,False,Veigar,14,6,7,GOLD IV,2026-02-24 20:50:17.432
EUW1_7750536886,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771960564981,1771963149910,2585,True,Veigar,12,10,8,GOLD IV,2026-02-24 19:59:09.910
EUW1_7750468892,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771958662224,1771960174375,1512,True,Veigar,3,5,5,GOLD IV,2026-02-24 19:09:34.375
EUW1_7749335977,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771891502544,1771893516609,2014,True,Veigar,11,7,4,GOLD IV,2026-02-24 00:38:36.609
EUW1_7749270257,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771888538217,1771889934500,1396,False,Velkoz,3,9,3,GOLD IV,2026-02-23 23:38:54.500
EUW1_7749202782,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771886051391,1771887696967,1645,True,Veigar,16,5,4,GOLD IV,2026-02-23 23:01:36.967
EUW1_7749054301,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771881822461,1771883838855,2016,True,Smolder,11,8,12,GOLD IV,2026-02-23 21:57:18.855
EUW1_7748965522,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771879504304,1771881269895,1765,False,Brand,3,9,0,GOLD IV,2026-02-23 21:14:29.895
EUW1_7748861590,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771876634250,1771878817824,2183,False,Brand,10,11,12,GOLD IV,2026-02-23 20:33:37.824
EUW1_7748756118,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771873962991,1771875707736,1745,True,Brand,5,5,16,GOLD IV,2026-02-23 19:41:47.736
EUW1_7748639698,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771870384443,1771872357521,1973,False,Velkoz,4,12,6,GOLD IV,2026-02-23 18:45:57.521
EUW1_7748589905,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771868986896,1771870094215,1107,True,Velkoz,5,2,10,GOLD IV,2026-02-23 18:08:14.215
EUW1_7748499587,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771865876501,1771868057067,2181,True,Velkoz,4,5,6,GOLD IV,2026-02-23 17:34:17.067
EUW1_7748435072,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771863708456,1771865345021,1636,False,Veigar,4,6,1,GOLD IV,2026-02-23 16:49:05.021
EUW1_7748384604,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771861691971,1771863287417,1595,False,Velkoz,1,9,6,GOLD IV,2026-02-23 16:14:47.417
EUW1_7747676470,sd6mFXIXdUW_4eXvSqR_g4XSTgHlmN0Q8bqbe-xLc5JQDI3mZKNkqy9JI4-gj_8iupGEQ0o8G9ggGQ,1771811755397,1771813938866,2183,True,Velkoz,4,11,6,GOLD IV,2026-02-23 02:32:18.866
