match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837349678,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777541258416,1777543596700,2338,False,Vayne,8,8,6,SILVER III,2026-04-30 10:06:36.700
EUW1_7837310215,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777536909968,1777539217274,2307,True,Vayne,16,9,7,SILVER III,2026-04-30 08:53:37.274
EUW1_7837301018,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777535632702,1777536546071,913,True,Morgana,2,1,5,SILVER III,2026-04-30 08:09:06.071
EUW1_7837275644,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777527997385,1777530133757,2136,False,Vayne,13,9,3,SILVER III,2026-04-30 06:22:13.757
EUW1_7837091671,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777499249362,1777501449066,2200,True,Vayne,17,7,10,SILVER III,2026-04-29 22:24:09.066
EUW1_7837025244,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777496353152,1777498594678,2241,True,Vayne,9,8,9,SILVER III,2026-04-29 21:36:34.678
EUW1_7836956655,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777493587123,1777495842595,2255,False,Cassiopeia,8,7,5,SILVER III,2026-04-29 20:50:42.595
EUW1_7836865506,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777490161612,1777492593627,2432,True,Vayne,19,8,15,SILVER III,2026-04-29 19:56:33.627
EUW1_7836783403,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777487282054,1777489473697,2192,True,Vayne,11,1,4,SILVER III,2026-04-29 19:04:33.697
EUW1_7836642404,soKAwHPHINWF53URsrk5znGrE-A_yGo32G0sVTRustmhqqbJsjoN-C1S27aUqoOwvSA7ZrYPpmA69w,1777481424519,1777483081525,1657,True,Vayne,16,7,2,SILVER III,2026-04-29 17:18:01.525
