match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826917812,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776683176574,1776685566201,2389,False,Leblanc,6,4,13,SILVER III,2026-04-20 11:46:06.201
EUW1_7826907260,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776682826669,1776682899363,73,False,Lucian,0,0,0,SILVER III,2026-04-20 11:01:39.363
EUW1_7826890672,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776680535565,1776682400785,1865,False,Leona,1,8,11,SILVER III,2026-04-20 10:53:20.785
EUW1_7826871719,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776678561727,1776680306434,1745,False,Ahri,5,2,2,SILVER III,2026-04-20 10:18:26.434
EUW1_7825709154,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776598143308,1776599998227,1855,False,Orianna,7,7,7,SILVER III,2026-04-19 11:59:58.227
EUW1_7825681912,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776596495085,1776597880132,1385,False,Ashe,1,6,2,SILVER III,2026-04-19 11:24:40.132
EUW1_7825604603,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776591049260,1776593141818,2092,False,Varus,8,5,7,SILVER III,2026-04-19 10:05:41.818
EUW1_7825553266,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776587112877,1776588517698,1405,True,Varus,4,7,7,SILVER III,2026-04-19 08:48:37.698
EUW1_7825161997,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776544304409,1776546292534,1988,False,Ashe,4,9,12,SILVER III,2026-04-18 21:04:52.534
EUW1_7824768137,sshTl6RxoX5s8qId75x2IA4L3Ad4q9TFpiF78G-WCC6JLF9qz6tqzVbOS9DIsBeXTRUvl8anBWpYSw,1776526913095,1776529468522,2555,True,Jhin,10,9,14,SILVER III,2026-04-18 16:24:28.522
