match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823080631,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1776384104858,1776385694053,1589,True,Zoe,5,5,5,SILVER I,2026-04-17 00:28:14.053
EUW1_7823048412,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1776381689043,1776383720481,2031,True,Braum,5,8,13,SILVER I,2026-04-16 23:55:20.481
EUW1_7822946871,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1776375392833,1776377705357,2312,False,Viego,10,11,6,SILVER I,2026-04-16 22:15:05.357
EUW1_7822009820,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1776308964796,1776311010882,2046,False,Pyke,10,11,7,SILVER I,2026-04-16 03:43:30.882
EUW1_7822000929,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1776306104019,1776308380180,2276,True,Pyke,6,16,20,SILVER I,2026-04-16 02:59:40.180
EUW1_7821943169,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1776296795029,1776298938189,2143,False,Naafiri,10,9,7,SILVER I,2026-04-16 00:22:18.189
EUW1_7821918893,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1776294310870,1776295868449,1557,False,Shyvana,1,5,1,SILVER I,2026-04-15 23:31:08.449
EUW1_7821861269,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1776290924399,1776292965355,2041,True,Zed,10,9,7,SILVER I,2026-04-15 22:42:45.355
EUW1_7815692125,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1775785870976,1775787709306,1838,True,Ashe,6,9,15,SILVER I,2026-04-10 02:21:49.306
EUW1_7814749522,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1775700304508,1775702238928,1934,True,Ashe,14,9,16,SILVER I,2026-04-09 02:37:18.928
EUW1_7814730834,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1775697094878,1775699328949,2234,False,Ezreal,16,8,15,SILVER I,2026-04-09 01:48:48.949
EUW1_7814713848,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1775694094524,1775696141131,2047,False,Jhin,9,10,7,SILVER I,2026-04-09 00:55:41.131
EUW1_7814384302,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1775674865431,1775677339811,2474,True,Lucian,22,15,12,SILVER I,2026-04-08 19:42:19.811
EUW1_7814337848,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1775672730584,1775674585892,1855,False,Vayne,10,13,5,SILVER I,2026-04-08 18:56:25.892
EUW1_7814194512,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1775665020901,1775667566613,2546,False,Kaisa,21,12,7,SILVER I,2026-04-08 16:59:26.613
EUW1_7814150228,tMU646yQxRAeg8hbp_BMHzUKQ5mYY-uOdK9aTxRjSpgIaAV_L1MSpRRkRmFIJfR7aAhmX8LZ0Neezw,1775662460968,1775664600264,2139,False,Kaisa,11,11,9,SILVER I,2026-04-08 16:10:00.264
