match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842164792,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777901737491,1777904098756,2361,False,Kled,7,9,8,GOLD IV,2026-05-04 14:14:58.756
EUW1_7842133893,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777899740539,1777901338175,1597,True,Malphite,12,4,6,GOLD IV,2026-05-04 13:28:58.175
EUW1_7842119636,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777898396313,1777899369041,973,False,Warwick,3,4,0,GOLD IV,2026-05-04 12:56:09.041
EUW1_7842063941,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777894119445,1777896796154,2676,True,Anivia,6,10,17,GOLD IV,2026-05-04 12:13:16.154
EUW1_7842055167,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777893692336,1777893762442,70,True,Anivia,0,0,0,GOLD IV,2026-05-04 11:22:42.442
EUW1_7837431676,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777549477481,1777551200078,1722,True,Anivia,5,3,5,GOLD IV,2026-04-30 12:13:20.078
EUW1_7837413473,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777547550498,1777549116274,1566,False,Teemo,4,11,5,GOLD IV,2026-04-30 11:38:36.274
EUW1_7836753348,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777486122121,1777488094906,1973,True,Ziggs,7,6,11,GOLD IV,2026-04-29 18:41:34.906
EUW1_7836698464,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777483492726,1777485672952,2180,True,Xerath,14,9,16,GOLD IV,2026-04-29 18:01:12.952
EUW1_7836566087,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777477443858,1777478908086,1464,True,TahmKench,3,5,8,GOLD IV,2026-04-29 16:08:28.086
EUW1_7836517334,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777474996565,1777476688827,1692,False,Briar,5,12,5,GOLD IV,2026-04-29 15:31:28.827
EUW1_7836487673,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777472807348,1777474546758,1739,False,Kindred,5,10,7,GOLD IV,2026-04-29 14:55:46.758
EUW1_7836442835,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777470380928,1777472376777,1996,False,Briar,6,13,8,GOLD IV,2026-04-29 14:19:36.777
EUW1_7836333347,tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,1777463135854,1777465103279,1967,True,Naafiri,3,6,5,GOLD IV,2026-04-29 12:18:23.279
