match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827801481,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776731317605,1776732506648,1190,True,Thresh,3,0,8,SILVER I,2026-04-21 00:48:26.648
EUW1_7827781123,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776729288663,1776730859466,1571,True,Thresh,3,1,23,SILVER I,2026-04-21 00:20:59.466
EUW1_7827753987,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776726386534,1776728553793,2167,True,Thresh,5,8,18,SILVER I,2026-04-20 23:42:33.793
EUW1_7827716835,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776723572986,1776724485543,912,True,Thresh,0,0,9,SILVER I,2026-04-20 22:34:45.543
EUW1_7827676564,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776721275687,1776722959884,1684,True,Thresh,2,4,15,SILVER I,2026-04-20 22:09:19.884
EUW1_7827623649,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776719015084,1776720852873,1838,False,Thresh,4,2,14,SILVER I,2026-04-20 21:34:12.873
EUW1_7827544695,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776715983471,1776717838479,1855,False,Zilean,2,2,9,SILVER I,2026-04-20 20:43:58.479
EUW1_7827477702,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776713580142,1776715455451,1875,True,Zilean,1,3,18,SILVER I,2026-04-20 20:04:15.451
EUW1_7827306262,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776707272814,1776709748409,2476,False,Thresh,1,2,20,SILVER I,2026-04-20 18:29:08.409
EUW1_7827054910,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776693918403,1776696531685,2613,True,Thresh,3,5,22,SILVER I,2026-04-20 14:48:51.685
EUW1_7827027512,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776691825561,1776693590371,1765,False,Thresh,6,3,16,SILVER I,2026-04-20 13:59:50.371
EUW1_7826973385,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776688309080,1776690749160,2440,True,Zilean,5,0,32,SILVER I,2026-04-20 13:12:29.160
EUW1_7826942772,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776685323313,1776687438502,2115,False,Zilean,4,6,18,SILVER I,2026-04-20 12:17:18.502
EUW1_7826901254,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776682214103,1776684397433,2183,True,Zilean,1,5,25,SILVER I,2026-04-20 11:26:37.433
EUW1_7826881875,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776679810391,1776681197059,1387,False,Thresh,2,2,7,SILVER I,2026-04-20 10:33:17.059
EUW1_7826865362,uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,1776678775513,1776678847111,71,False,Thresh,0,0,0,SILVER I,2026-04-20 09:54:07.111
