match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828020886,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776773335622,1776775343638,2008,False,Neeko,3,7,10,SILVER II,2026-04-21 12:42:23.638
EUW1_7827997536,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776771068054,1776772909792,1842,False,Lux,4,6,3,SILVER II,2026-04-21 12:01:49.792
EUW1_7827961078,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776768032817,1776769838686,1806,False,Lux,3,4,5,SILVER II,2026-04-21 11:10:38.686
EUW1_7827934870,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776765098675,1776767628003,2529,True,Vex,11,3,15,SILVER II,2026-04-21 10:33:48.003
EUW1_7827911846,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776762458311,1776764692361,2234,True,Vex,9,2,12,SILVER II,2026-04-21 09:44:52.361
EUW1_7827843084,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776747213590,1776748829333,1616,True,Vex,10,5,7,SILVER II,2026-04-21 05:20:29.333
EUW1_7827845490,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776745288560,1776746264509,976,True,Lux,1,1,4,SILVER II,2026-04-21 04:37:44.509
EUW1_7827836996,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776742693724,1776745005161,2311,True,Lux,11,2,11,SILVER II,2026-04-21 04:16:45.161
EUW1_7827832836,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776740621849,1776742389504,1768,True,Lux,2,4,3,SILVER II,2026-04-21 03:33:09.504
EUW1_7827821183,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776737076474,1776739806089,2729,True,Lux,12,6,14,SILVER II,2026-04-21 02:50:06.089
EUW1_7827811107,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776734301191,1776736606158,2305,False,Mel,9,6,6,SILVER II,2026-04-21 01:56:46.158
EUW1_7827803829,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776732321979,1776733773664,1451,False,Mel,12,6,1,SILVER II,2026-04-21 01:09:33.664
EUW1_7827790783,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776730218792,1776732003663,1785,True,Aurora,1,6,10,SILVER II,2026-04-21 00:40:03.663
EUW1_7826777732,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776656508686,1776658443661,1935,True,Vex,7,5,8,SILVER II,2026-04-20 04:14:03.661
EUW1_7826771775,ulATUjb4P7ZmGmAH6w9p3YNWsHBVgxixNXQQygRY4d5-xCxvvRGw72A4z7DX6-pKXat-91I3DxYB0w,1776653962772,1776655901127,1938,True,Vex,7,12,11,SILVER II,2026-04-20 03:31:41.127
