match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837136961,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777501735512,1777503293232,1558,True,Yorick,6,7,13,GOLD IV,2026-04-29 22:54:53.232
EUW1_7836054481,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777414375848,1777416171005,1795,True,Jayce,8,4,11,GOLD IV,2026-04-28 22:42:51.005
EUW1_7836014813,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777412323291,1777414178526,1855,False,Yasuo,0,10,4,GOLD IV,2026-04-28 22:09:38.526
EUW1_7835110589,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777328719671,1777330610175,1890,True,Vayne,20,6,7,GOLD IV,2026-04-27 22:56:50.175
EUW1_7834065967,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777240323188,1777242228268,1905,True,Gangplank,6,6,3,GOLD IV,2026-04-26 22:23:48.268
EUW1_7832923898,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777157965732,1777159504982,1539,False,Sion,4,4,1,GOLD IV,2026-04-25 23:25:04.982
EUW1_7832875513,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777155287324,1777156794225,1507,True,Aurora,11,2,10,GOLD IV,2026-04-25 22:39:54.225
EUW1_7831960206,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777099922843,1777102015576,2093,False,Ziggs,6,7,6,GOLD IV,2026-04-25 07:26:55.576
EUW1_7831948369,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777097217128,1777099090263,1873,True,Kaisa,12,6,4,GOLD IV,2026-04-25 06:38:10.263
EUW1_7831820724,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777071502676,1777074007253,2504,True,Garen,19,7,5,GOLD IV,2026-04-24 23:40:07.253
EUW1_7831790807,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777069837594,1777071228606,1391,True,Ambessa,6,2,2,GOLD IV,2026-04-24 22:53:48.606
EUW1_7831714983,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777066515616,1777067579247,1063,False,Yasuo,8,5,1,GOLD IV,2026-04-24 21:52:59.247
EUW1_7831553903,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777059970531,1777061414468,1444,True,Yunara,11,4,13,GOLD IV,2026-04-24 20:10:14.468
EUW1_7831509612,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777057903490,1777059613747,1710,False,Darius,5,8,3,GOLD IV,2026-04-24 19:40:13.747
EUW1_7831444534,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1777054991827,1777057568341,2576,True,Corki,26,13,7,GOLD IV,2026-04-24 19:06:08.341
EUW1_7830486754,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776971236608,1776972760892,1524,False,Seraphine,1,8,7,GOLD IV,2026-04-23 19:32:40.892
EUW1_7830398691,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776967391857,1776969689504,2298,False,Anivia,1,12,8,GOLD IV,2026-04-23 18:41:29.504
EUW1_7830155519,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776953745533,1776955884629,2139,False,Caitlyn,7,8,4,GOLD IV,2026-04-23 14:51:24.629
EUW1_7829491756,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776884810518,1776886615587,1805,False,KSante,1,7,3,GOLD IV,2026-04-22 19:36:55.587
EUW1_7829475792,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776884427076,1776884499449,72,False,KSante,0,0,0,GOLD IV,2026-04-22 19:01:39.449
EUW1_7829423901,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776882028043,1776883836798,1809,False,Qiyana,5,7,5,GOLD IV,2026-04-22 18:50:36.798
EUW1_7829379142,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776880112919,1776881059123,946,False,Morgana,1,2,1,GOLD IV,2026-04-22 18:04:19.123
EUW1_7828375955,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776794202035,1776795925275,1723,False,Varus,10,10,4,GOLD IV,2026-04-21 18:25:25.275
EUW1_7828324064,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776791958151,1776793799919,1842,False,Xayah,6,11,13,GOLD IV,2026-04-21 17:49:59.919
EUW1_7827755474,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776726086941,1776728400567,2313,False,Taliyah,7,11,14,GOLD IV,2026-04-20 23:40:00.567
EUW1_7827717935,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776723744764,1776725882482,2138,False,Aurora,10,8,8,GOLD IV,2026-04-20 22:58:02.482
EUW1_7827462390,v-wDIBNkZITg3cbegJz2k07QGSkdR-jyEgFg98ityEgg1lZ2mduvZISzFfd1tqfUOtJSIgq4Ho1Cjw,1776713217342,1776714654919,1438,False,Zoe,2,8,2,GOLD IV,2026-04-20 19:50:54.919
