match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7835964778,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1777409918892,1777411819705,1901,True,Kayle,6,6,8,BRONZE I,2026-04-28 21:30:19.705
EUW1_7832822297,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1777153010062,1777155122030,2112,False,Kayle,2,11,8,BRONZE I,2026-04-25 22:12:02.030
EUW1_7832756328,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1777150353024,1777152689987,2337,False,Malphite,15,9,11,BRONZE I,2026-04-25 21:31:29.987
EUW1_7831800417,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1777070699936,1777072487702,1788,False,Orianna,0,3,0,BRONZE I,2026-04-24 23:14:47.702
EUW1_7831766763,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1777068768780,1777070459568,1691,True,Malzahar,14,2,7,BRONZE I,2026-04-24 22:40:59.568
EUW1_7831676914,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1777064940767,1777066386235,1445,False,Ornn,2,1,2,BRONZE I,2026-04-24 21:33:06.235
EUW1_7831635005,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1777063290908,1777064587948,1297,False,Ornn,0,6,0,BRONZE I,2026-04-24 21:03:07.948
EUW1_7829757574,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1776896613665,1776897305785,692,False,Malzahar,0,2,1,BRONZE I,2026-04-22 22:35:05.785
EUW1_7829734724,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1776895273005,1776896352800,1080,True,Malzahar,5,0,5,BRONZE I,2026-04-22 22:19:12.800
EUW1_7829690193,vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,1776893149142,1776894813263,1664,False,Malzahar,5,5,2,BRONZE I,2026-04-22 21:53:33.263
