match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823124574,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776391395455,1776393577941,2182,False,Samira,15,8,6,SILVER III,2026-04-17 02:39:37.941
EUW1_7823106255,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776388895178,1776390742470,1847,False,Jhin,14,15,5,SILVER III,2026-04-17 01:52:22.470
EUW1_7823100706,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776386929621,1776388622592,1693,False,Samira,6,9,5,SILVER III,2026-04-17 01:17:02.592
EUW1_7821987219,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776303089433,1776305139866,2050,False,Samira,21,13,3,SILVER III,2026-04-16 02:05:39.866
EUW1_7821986465,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776301543232,1776302843856,1300,True,Ezreal,4,5,12,SILVER III,2026-04-16 01:27:23.856
EUW1_7821976248,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776301131828,1776301246711,115,True,Samira,0,0,0,SILVER III,2026-04-16 01:00:46.711
EUW1_7821959388,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776298487595,1776300727144,2239,True,Ekko,11,8,16,SILVER III,2026-04-16 00:52:07.144
EUW1_7821938656,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776295764357,1776297982518,2218,False,Samira,14,10,5,SILVER III,2026-04-16 00:06:22.518
EUW1_7819028212,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776043642898,1776045760054,2117,False,Samira,8,16,4,SILVER III,2026-04-13 02:02:40.054
EUW1_7819026577,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776041947709,1776043338151,1390,True,Senna,13,8,4,SILVER III,2026-04-13 01:22:18.151
EUW1_7819008717,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776039095211,1776041332914,2238,True,Jhin,10,16,10,SILVER III,2026-04-13 00:48:52.914
EUW1_7818990112,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776037128420,1776038824703,1696,False,Samira,10,13,6,SILVER III,2026-04-13 00:07:04.703
EUW1_7818845451,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776027924311,1776030511081,2587,False,Ambessa,6,11,7,SILVER III,2026-04-12 21:48:31.081
EUW1_7818752981,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776023974260,1776026575925,2603,False,Ambessa,10,10,9,SILVER III,2026-04-12 20:42:55.925
EUW1_7818689053,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776021406904,1776022324382,917,True,Ambessa,3,1,0,SILVER III,2026-04-12 19:32:04.382
EUW1_7818536016,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1776015345911,1776016875758,1530,True,Ekko,0,2,6,SILVER III,2026-04-12 18:01:15.758
EUW1_7816786561,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775873100705,1775874312198,1211,True,Senna,11,3,9,SILVER III,2026-04-11 02:25:12.198
EUW1_7816763377,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775870196653,1775872691594,2495,False,Samira,9,12,10,SILVER III,2026-04-11 01:58:11.594
EUW1_7815694880,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775786666010,1775787812449,1146,True,Samira,8,6,12,SILVER III,2026-04-10 02:23:32.449
EUW1_7815688716,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775784159518,1775786343944,2184,False,Ekko,12,8,9,SILVER III,2026-04-10 01:59:03.944
EUW1_7812849849,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775529512754,1775531302947,1790,True,Samira,29,5,5,SILVER III,2026-04-07 03:08:22.947
EUW1_7812840241,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775527361665,1775529042840,1681,False,Jhin,6,13,11,SILVER III,2026-04-07 02:30:42.840
EUW1_7811734513,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775442313979,1775444209637,1896,False,Jhin,9,8,5,SILVER III,2026-04-06 02:56:49.637
EUW1_7811718663,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775439349106,1775441396607,2047,False,Samira,3,13,5,SILVER III,2026-04-06 02:09:56.607
EUW1_7808244581,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775182434227,1775184153204,1719,True,Samira,22,3,5,SILVER III,2026-04-03 02:42:33.204
EUW1_7808226819,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775179574071,1775182085003,2511,True,Samira,19,11,13,SILVER III,2026-04-03 02:08:05.003
EUW1_7807133101,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775096601169,1775098931278,2330,True,Samira,19,12,8,SILVER III,2026-04-02 03:02:11.278
EUW1_7807117805,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775092077201,1775093708943,1632,True,Samira,19,3,4,SILVER III,2026-04-02 01:35:08.943
EUW1_7806111051,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775010308721,1775012369965,2061,False,Jinx,9,15,4,SILVER III,2026-04-01 02:59:29.965
EUW1_7806104824,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775008284755,1775009930909,1646,True,Samira,22,7,8,SILVER III,2026-04-01 02:18:50.909
EUW1_7806083147,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1775004560361,1775006935199,2375,False,Samira,17,15,7,SILVER III,2026-04-01 01:28:55.199
EUW1_7805054040,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1774916787228,1774919210145,2423,False,Jhin,21,8,12,SILVER III,2026-03-31 01:06:50.145
EUW1_7805036645,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1774914443618,1774916454628,2011,False,Samira,4,9,6,SILVER III,2026-03-31 00:20:54.628
EUW1_7805014293,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1774912823137,1774914072885,1250,False,Samira,6,7,1,SILVER III,2026-03-30 23:41:12.885
EUW1_7804964433,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1774909432119,1774910368152,936,True,Samira,10,4,2,SILVER III,2026-03-30 22:39:28.152
EUW1_7804938936,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1774907774903,1774909144297,1369,True,Samira,14,4,5,SILVER III,2026-03-30 22:19:04.297
EUW1_7804003670,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1774832193971,1774834466578,2272,True,Samira,27,12,7,SILVER III,2026-03-30 01:34:26.578
EUW1_7803984001,vZrWwxj6a4olK9KhaFJ61XSodpaBGNa4O2dceL64MZ3QsSK4mFdap4JiQ2Zvc_MtD7JddF7ohg07Dg,1774829933423,1774831549413,1616,True,Ekko,13,5,10,SILVER III,2026-03-30 00:45:49.413
