match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7840869460,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777806582511,1777808367223,1785,False,MonkeyKing,0,8,2,BRONZE I,2026-05-03 11:39:27.223
EUW1_7840827689,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777803887493,1777806201331,2314,True,Sett,5,12,7,BRONZE I,2026-05-03 11:03:21.331
EUW1_7840791886,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777801485190,1777803558627,2073,True,Sylas,8,10,10,BRONZE I,2026-05-03 10:19:18.627
EUW1_7840392897,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777755875447,1777757721507,1846,False,Sylas,3,8,7,BRONZE I,2026-05-02 21:35:21.507
EUW1_7840343835,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777753981653,1777755574708,1593,False,Zed,12,9,3,BRONZE I,2026-05-02 20:59:34.708
EUW1_7840303648,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777752243817,1777753590994,1347,False,Smolder,3,6,4,BRONZE I,2026-05-02 20:26:30.994
EUW1_7840243128,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777750013299,1777751875388,1862,False,Sylas,9,8,3,BRONZE I,2026-05-02 19:57:55.388
EUW1_7840186110,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777747573814,1777749132530,1559,False,Sett,5,7,3,BRONZE I,2026-05-02 19:12:12.530
EUW1_7840149637,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777745502658,1777746614689,1112,False,Ekko,2,3,2,BRONZE I,2026-05-02 18:30:14.689
EUW1_7836994708,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777495075307,1777497178149,2103,True,Sylas,12,10,10,BRONZE I,2026-04-29 21:12:58.149
EUW1_7836901978,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777491744645,1777493897572,2153,True,Sett,2,10,2,BRONZE I,2026-04-29 20:18:17.572
EUW1_7835960435,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777410086155,1777412349965,2264,False,Sett,9,7,3,BRONZE I,2026-04-28 21:39:09.965
EUW1_7835922768,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777407985338,1777409615790,1630,True,Sett,9,5,4,BRONZE I,2026-04-28 20:53:35.790
EUW1_7835877306,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777406295630,1777407693586,1398,True,Sett,6,4,2,BRONZE I,2026-04-28 20:21:33.586
EUW1_7834910877,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777319743675,1777320674287,930,False,Sett,1,3,0,BRONZE I,2026-04-27 20:11:14.287
EUW1_7834826357,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777316672366,1777319430275,2758,True,Sylas,13,17,11,BRONZE I,2026-04-27 19:50:30.275
EUW1_7834787078,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777315003488,1777316296547,1293,False,Gragas,3,11,0,BRONZE I,2026-04-27 18:58:16.547
EUW1_7834738632,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777312854005,1777314293099,1439,False,Sylas,2,14,5,BRONZE I,2026-04-27 18:24:53.099
EUW1_7834580139,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777305426735,1777307998082,2571,False,Sett,6,11,9,BRONZE I,2026-04-27 16:39:58.082
EUW1_7834517224,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777301813513,1777303720253,1907,False,Sett,10,9,5,BRONZE I,2026-04-27 15:28:40.253
EUW1_7834028573,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777238377250,1777240577860,2200,True,Sett,5,5,12,BRONZE I,2026-04-26 21:56:17.860
EUW1_7831192967,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777041214788,1777043568661,2354,True,Sett,5,11,4,BRONZE I,2026-04-24 15:12:48.661
EUW1_7831144710,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777038202686,1777040876290,2674,True,Sett,11,9,9,BRONZE I,2026-04-24 14:27:56.290
EUW1_7831099415,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777035319045,1777036819763,1501,True,Sett,9,2,4,BRONZE I,2026-04-24 13:20:19.763
EUW1_7831093371,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777034921363,1777035026144,105,True,Sett,0,0,0,BRONZE I,2026-04-24 12:50:26.144
EUW1_7831074643,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1777033058576,1777034578003,1519,False,Sylas,5,8,5,BRONZE I,2026-04-24 12:42:58.003
EUW1_7830125676,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776951895861,1776953963013,2067,False,Vex,7,13,10,BRONZE I,2026-04-23 14:19:23.013
EUW1_7830101488,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776949752691,1776951252728,1500,True,Sylas,11,2,7,BRONZE I,2026-04-23 13:34:12.728
EUW1_7830059832,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776946720621,1776947701967,982,True,Sylas,9,1,0,BRONZE I,2026-04-23 12:35:01.967
EUW1_7830033777,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776944457383,1776946217919,1760,False,Yasuo,1,9,3,BRONZE I,2026-04-23 12:10:17.919
EUW1_7829989318,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776940681294,1776941612268,931,False,Sylas,2,4,1,BRONZE I,2026-04-23 10:53:32.268
EUW1_7829964919,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776937838819,1776940228307,2389,True,Ekko,3,6,11,BRONZE I,2026-04-23 10:30:28.307
EUW1_7829788470,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776898784943,1776901191845,2407,False,Sylas,2,11,2,BRONZE I,2026-04-22 23:39:51.845
EUW1_7829737802,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776895555154,1776898285077,2730,False,Gragas,7,9,6,BRONZE I,2026-04-22 22:51:25.077
EUW1_7829699054,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776893569100,1776895278497,1709,True,Mordekaiser,7,5,4,BRONZE I,2026-04-22 22:01:18.497
EUW1_7829640061,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776890916761,1776893255932,2339,False,Sylas,5,14,5,BRONZE I,2026-04-22 21:27:35.932
EUW1_7829627922,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776890509865,1776890582050,72,False,Sylas,0,0,0,BRONZE I,2026-04-22 20:43:02.050
EUW1_7829549935,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776887158194,1776889031377,1873,True,Vex,8,10,15,BRONZE I,2026-04-22 20:17:11.377
EUW1_7829442272,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776882937819,1776884735847,1798,True,Sylas,9,8,6,BRONZE I,2026-04-22 19:05:35.847
EUW1_7828933347,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776848172538,1776850588300,2416,False,Sylas,9,13,7,BRONZE I,2026-04-22 09:36:28.300
EUW1_7828921670,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776845671086,1776846998579,1327,True,Sylas,8,2,8,BRONZE I,2026-04-22 08:36:38.579
EUW1_7828901273,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776842885523,1776844414027,1528,True,Sylas,7,3,4,BRONZE I,2026-04-22 07:53:34.027
EUW1_7826927037,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776684411285,1776684540666,129,False,Zed,0,0,0,BRONZE I,2026-04-20 11:29:00.666
EUW1_7822993323,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776377788410,1776380045120,2257,False,Sylas,4,16,11,BRONZE I,2026-04-16 22:54:05.120
EUW1_7822985102,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776377379032,1776377466874,88,False,Vex,0,0,0,BRONZE I,2026-04-16 22:11:06.874
EUW1_7822955982,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776375946696,1776376868167,921,True,Trundle,1,2,1,BRONZE I,2026-04-16 22:01:08.167
EUW1_7822895898,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776373249900,1776375182461,1933,True,Sett,4,6,6,BRONZE I,2026-04-16 21:33:02.461
EUW1_7822829718,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776370632633,1776372819893,2188,True,Yone,3,13,10,BRONZE I,2026-04-16 20:53:39.893
EUW1_7822794347,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776369445657,1776370356228,910,False,Gragas,0,3,0,BRONZE I,2026-04-16 20:12:36.228
EUW1_7822382787,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776352310543,1776355527449,3217,True,Gragas,7,16,18,BRONZE I,2026-04-16 16:05:27.449
EUW1_7822339120,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776349864166,1776351559006,1695,False,Garen,3,11,2,BRONZE I,2026-04-16 14:59:19.006
EUW1_7822305766,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776347732777,1776349605905,1873,True,Mordekaiser,9,9,5,BRONZE I,2026-04-16 14:26:45.905
EUW1_7822262020,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776345086711,1776347249390,2163,True,Sylas,1,14,16,BRONZE I,2026-04-16 13:47:29.390
EUW1_7822065867,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776326948958,1776327862406,913,False,Ekko,3,9,0,BRONZE I,2026-04-16 08:24:22.406
EUW1_7822052874,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776324853384,1776326602732,1749,False,Vayne,2,12,3,BRONZE I,2026-04-16 08:03:22.732
EUW1_7822042959,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776323119732,1776324567833,1448,False,Sett,3,5,2,BRONZE I,2026-04-16 07:29:27.833
EUW1_7822035974,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776321029534,1776322733694,1705,True,DrMundo,2,3,5,BRONZE I,2026-04-16 06:58:53.694
EUW1_7822032988,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776320600327,1776320731367,131,False,Sett,0,0,0,BRONZE I,2026-04-16 06:25:31.367
EUW1_7822026978,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776318122055,1776320210127,2088,True,Ekko,7,12,6,BRONZE I,2026-04-16 06:16:50.127
EUW1_7821836627,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776289417717,1776292133405,2716,True,Ekko,12,12,12,BRONZE I,2026-04-15 22:28:53.405
EUW1_7821774246,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776287068746,1776288980621,1912,True,Sylas,3,5,12,BRONZE I,2026-04-15 21:36:20.621
EUW1_7821737404,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776285511033,1776286685472,1174,True,Mordekaiser,2,5,0,BRONZE I,2026-04-15 20:58:05.472
EUW1_7821671241,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776282818312,1776284996890,2178,False,Ekko,5,12,12,BRONZE I,2026-04-15 20:29:56.890
EUW1_7821590401,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776279693626,1776282178671,2485,False,DrMundo,2,5,7,BRONZE I,2026-04-15 19:42:58.671
EUW1_7821543448,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776277947597,1776279136464,1189,True,Sylas,2,5,3,BRONZE I,2026-04-15 18:52:16.464
EUW1_7821538293,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776277538481,1776277610705,74,True,Ekko,0,0,0,BRONZE I,2026-04-15 18:26:50.705
EUW1_7821486385,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776275540171,1776277180536,1640,False,Sylas,4,10,4,BRONZE I,2026-04-15 18:19:40.536
EUW1_7821454505,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776273853780,1776275061896,1208,True,Ekko,13,1,1,BRONZE I,2026-04-15 17:44:21.896
EUW1_7821422852,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776272605330,1776273524885,920,False,Zoe,2,3,2,BRONZE I,2026-04-15 17:18:44.885
EUW1_7821325169,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776268241867,1776270221862,1980,False,Sylas,2,13,5,BRONZE I,2026-04-15 16:23:41.862
EUW1_7821299838,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776266616003,1776267526578,911,True,Sylas,7,3,2,BRONZE I,2026-04-15 15:38:46.578
EUW1_7821256300,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776264582525,1776266311971,1729,False,Sett,1,6,3,BRONZE I,2026-04-15 15:18:31.971
EUW1_7821239797,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776263392338,1776264084504,692,True,DrMundo,2,2,0,BRONZE I,2026-04-15 14:41:24.504
EUW1_7820764062,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776202350140,1776204464690,2115,True,Sett,4,10,10,BRONZE I,2026-04-14 22:07:44.690
EUW1_7820712338,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776199896836,1776201953262,2057,True,Sett,8,9,7,BRONZE I,2026-04-14 21:25:53.262
EUW1_7820704081,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776199392825,1776199599150,206,False,Sett,0,0,0,BRONZE I,2026-04-14 20:46:39.150
EUW1_7820681057,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776198427092,1776199115859,689,True,Sett,0,2,0,BRONZE I,2026-04-14 20:38:35.859
EUW1_7820537122,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776192130386,1776193872741,1742,False,Zed,5,14,2,BRONZE I,2026-04-14 19:11:12.741
EUW1_7820473156,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776189287093,1776191781243,2494,True,Mordekaiser,11,11,4,BRONZE I,2026-04-14 18:36:21.243
EUW1_7820399449,wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,1776185633363,1776188872596,3239,True,Darius,13,23,9,BRONZE I,2026-04-14 17:47:52.596
