match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841635829,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777839907330,1777842507927,2600,False,Kaisa,11,5,7,SILVER II,2026-05-03 21:08:27.927
EUW1_7840625511,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777768548372,1777769887197,1339,False,Twitch,5,5,5,SILVER II,2026-05-03 00:58:07.197
EUW1_7840595549,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777765882118,1777768175508,2293,True,Ashe,9,10,17,SILVER II,2026-05-03 00:29:35.508
EUW1_7840554802,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777763368754,1777765504312,2140,False,Caitlyn,2,6,5,SILVER II,2026-05-02 23:45:04.312
EUW1_7840018731,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777738798416,1777741677871,2879,True,KogMaw,8,7,10,SILVER II,2026-05-02 17:07:57.871
EUW1_7839973640,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777736523523,1777738367340,1844,True,Poppy,6,2,14,SILVER II,2026-05-02 16:12:47.340
EUW1_7839919283,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777733892177,1777736058710,2166,True,Ezreal,7,3,16,SILVER II,2026-05-02 15:34:18.710
EUW1_7839418432,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777678600108,1777680241925,1642,False,Caitlyn,4,7,3,SILVER II,2026-05-02 00:04:01.925
EUW1_7839364589,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777674989122,1777678220666,3231,False,Ezreal,7,12,13,SILVER II,2026-05-01 23:30:20.666
EUW1_7839312415,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777672797284,1777674555480,1758,True,Ezreal,9,4,7,SILVER II,2026-05-01 22:29:15.480
EUW1_7839056997,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777662139947,1777663413705,1274,False,Ezreal,4,3,3,SILVER II,2026-05-01 19:23:33.705
EUW1_7838999144,wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,1777659603857,1777661773102,2169,True,Zeri,15,5,11,SILVER II,2026-05-01 18:56:13.102
