match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829346131,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776878584668,1776880446621,1862,False,Senna,3,6,6,GOLD IV,2026-04-22 17:54:06.621
EUW1_7829190289,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776870157131,1776872009688,1852,True,Senna,6,5,18,GOLD IV,2026-04-22 15:33:29.688
EUW1_7829024426,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776857944212,1776859147040,1208,False,Senna,2,5,8,GOLD IV,2026-04-22 11:59:07.040
EUW1_7829025520,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776857493329,1776857637904,144,False,Senna,0,0,0,GOLD IV,2026-04-22 11:33:57.904
EUW1_7828354770,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776793144489,1776794871395,1727,True,Senna,0,6,18,GOLD IV,2026-04-21 18:07:51.395
EUW1_7828211934,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776786234139,1776787698187,1464,False,Senna,3,1,7,GOLD IV,2026-04-21 16:08:18.187
EUW1_7827965809,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776768246061,1776769862557,1616,False,Senna,2,10,6,GOLD IV,2026-04-21 11:11:02.557
EUW1_7827884092,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776758948822,1776760606555,1658,False,Senna,1,4,3,GOLD IV,2026-04-21 08:36:46.555
EUW1_7827283897,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776706009853,1776707651644,1642,True,Senna,5,5,14,GOLD IV,2026-04-20 17:54:11.644
EUW1_7827158936,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776699861015,1776702208425,2347,True,Senna,7,7,18,GOLD IV,2026-04-20 16:23:28.425
EUW1_7826795270,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776667454346,1776669300511,1846,False,Senna,1,4,14,GOLD IV,2026-04-20 07:15:00.511
EUW1_7826378650,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776626017747,1776628105072,2087,False,Senna,0,8,21,GOLD IV,2026-04-19 19:48:25.072
EUW1_7826013982,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776612556591,1776614261849,1705,True,Senna,2,4,16,GOLD IV,2026-04-19 15:57:41.849
EUW1_7825777830,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776601774798,1776603965554,2191,True,Senna,3,8,24,GOLD IV,2026-04-19 13:06:05.554
EUW1_7825693007,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776597146576,1776598658744,1512,False,Senna,1,9,10,GOLD IV,2026-04-19 11:37:38.744
EUW1_7825595260,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776590751182,1776592969512,2218,False,Senna,2,8,16,GOLD IV,2026-04-19 10:02:49.512
EUW1_7825563564,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776587518317,1776588830620,1312,True,Senna,3,0,10,GOLD IV,2026-04-19 08:53:50.620
EUW1_7825557733,we1kGfFkOKMceiotXvtwF_6hNVI4QpNkP4KsJ0cizSqDEl6SVur8iFRKzuMQv6OT0xdIyzcYR21C1g,1776587145743,1776587213949,68,True,Senna,0,0,0,GOLD IV,2026-04-19 08:26:53.949
