match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828847471,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776816580019,1776819017516,2437,True,Teemo,12,11,10,SILVER III,2026-04-22 00:50:17.516
EUW1_7828827565,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776814329229,1776816257649,1928,True,Singed,6,4,19,SILVER III,2026-04-22 00:04:17.649
EUW1_7828799952,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776812414195,1776814051170,1637,False,Nasus,5,7,6,SILVER III,2026-04-21 23:27:31.170
EUW1_7828776362,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776810737555,1776811879837,1142,True,Singed,5,3,6,SILVER III,2026-04-21 22:51:19.837
EUW1_7828758152,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776809452912,1776810396471,944,True,Singed,4,2,0,SILVER III,2026-04-21 22:26:36.471
EUW1_7828713112,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776807220491,1776809143654,1923,False,Teemo,5,11,8,SILVER III,2026-04-21 22:05:43.654
EUW1_7828667404,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776805174264,1776806857704,1683,False,Singed,6,8,3,SILVER III,2026-04-21 21:27:37.704
EUW1_7828584154,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776801883036,1776804895886,3013,False,Teemo,7,13,20,SILVER III,2026-04-21 20:54:55.886
EUW1_7828547410,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776800601321,1776801533994,933,False,Teemo,2,4,1,SILVER III,2026-04-21 19:58:53.994
EUW1_7828492372,x9m7sOUQOwYEUNaTlBdiJ0TAtA_7pRPHjpr8M30CBP6gHaTgfjjL57a7Z3XpiOAa46YVB6_uJgAdHw,1776798614457,1776800280023,1665,False,Nasus,6,8,3,SILVER III,2026-04-21 19:38:00.023
