match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7838295929,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1777597783219,1777599615788,1832,True,MonkeyKing,7,4,9,SILVER III,2026-05-01 01:40:15.788
EUW1_7838257380,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1777593884780,1777595615416,1730,False,Talon,4,10,3,SILVER III,2026-05-01 00:33:35.416
EUW1_7832388400,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1777132543146,1777133598015,1055,False,MonkeyKing,4,5,0,SILVER III,2026-04-25 16:13:18.015
EUW1_7828839085,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1776816182508,1776817991066,1808,True,MonkeyKing,7,2,9,SILVER III,2026-04-22 00:33:11.066
EUW1_7828833369,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1776815839561,1776815912308,73,False,MonkeyKing,0,0,0,SILVER III,2026-04-21 23:58:32.308
EUW1_7828815306,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1776813906374,1776815543970,1638,False,Rakan,1,9,5,SILVER III,2026-04-21 23:52:23.970
EUW1_7828790741,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1776811517982,1776813462143,1944,True,Rakan,2,7,30,SILVER III,2026-04-21 23:17:42.143
EUW1_7828767519,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1776809654680,1776811159903,1505,False,Leona,4,9,7,SILVER III,2026-04-21 22:39:19.903
EUW1_7828728523,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1776807535562,1776809287251,1752,True,Nautilus,3,4,22,SILVER III,2026-04-21 22:08:07.251
EUW1_7828677086,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1776805505733,1776807259928,1754,False,MonkeyKing,3,8,4,SILVER III,2026-04-21 21:34:19.928
EUW1_7827187362,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1776701721507,1776703261483,1540,False,Talon,10,6,1,SILVER III,2026-04-20 16:41:01.483
EUW1_7827165304,xB7Oa3d0Ddjo_BzP8f9hJH1L0rm-h_Mxc2mDRC8N6K7PonrGHjy9mXQhvizaEef40AXfR2b4fKRO3g,1776700510336,1776701430220,920,False,Talon,0,5,0,SILVER III,2026-04-20 16:10:30.220
