match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828923285,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776846629302,1776847782273,1153,False,Quinn,1,3,6,GOLD II,2026-04-22 08:49:42.273
EUW1_7828911097,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776844398236,1776846380158,1982,False,Quinn,6,9,6,GOLD II,2026-04-22 08:26:20.158
EUW1_7828902052,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776842640872,1776844103672,1463,True,Quinn,4,6,6,GOLD II,2026-04-22 07:48:23.672
EUW1_7826058656,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776614078360,1776616250414,2172,False,Quinn,3,13,3,GOLD II,2026-04-19 16:30:50.414
EUW1_7825989407,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776611484569,1776613775475,2291,True,Quinn,8,7,21,GOLD II,2026-04-19 15:49:35.475
EUW1_7825733787,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776599344425,1776601312106,1968,False,Quinn,7,13,5,GOLD II,2026-04-19 12:21:52.106
EUW1_7825677289,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776596355262,1776599013322,2658,False,Ryze,4,14,11,GOLD II,2026-04-19 11:43:33.322
EUW1_7825653486,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776594351995,1776596142596,1790,True,Quinn,10,7,7,GOLD II,2026-04-19 10:55:42.596
EUW1_7825620004,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776592521818,1776594067546,1551,False,Orianna,1,11,6,GOLD II,2026-04-19 10:21:07.546
EUW1_7825542206,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776585849102,1776587577250,1728,False,Quinn,5,9,13,GOLD II,2026-04-19 08:32:57.250
EUW1_7825531383,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776584478552,1776585411751,933,False,Quinn,0,7,4,GOLD II,2026-04-19 07:56:51.751
EUW1_7825525900,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776582686133,1776584066329,1380,True,Xerath,7,0,4,GOLD II,2026-04-19 07:34:26.329
EUW1_7825397701,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776555335089,1776557682341,2347,True,Quinn,11,15,11,GOLD II,2026-04-19 00:14:42.341
EUW1_7825347409,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776552576359,1776555062403,2486,True,Quinn,14,19,16,GOLD II,2026-04-18 23:31:02.403
EUW1_7825305383,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776550459832,1776552142078,1682,False,Quinn,6,16,6,GOLD II,2026-04-18 22:42:22.078
EUW1_7825256125,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776548121851,1776549532506,1410,False,Quinn,5,9,3,GOLD II,2026-04-18 21:58:52.506
EUW1_7825158818,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776544148025,1776546498870,2351,False,Quinn,8,11,16,GOLD II,2026-04-18 21:08:18.870
EUW1_7825094715,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776541618122,1776543873147,2255,True,Brand,10,11,15,GOLD II,2026-04-18 20:24:33.147
EUW1_7824188983,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776469062345,1776470899329,1837,False,Quinn,11,12,10,GOLD II,2026-04-18 00:08:19.329
EUW1_7824146270,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776466550356,1776468733505,2183,True,Quinn,22,9,6,GOLD II,2026-04-17 23:32:13.505
EUW1_7824100685,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776463961846,1776466189143,2227,True,Quinn,8,11,15,GOLD II,2026-04-17 22:49:49.143
EUW1_7824030693,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776461045063,1776463657509,2612,False,Ryze,6,11,14,GOLD II,2026-04-17 22:07:37.509
EUW1_7821529929,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776277023224,1776279891958,2869,True,Quinn,16,7,26,GOLD II,2026-04-15 19:04:51.958
EUW1_7821470719,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776274557221,1776275986223,1429,True,Quinn,10,3,8,GOLD II,2026-04-15 17:59:46.223
EUW1_7821458752,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776274201744,1776274271298,69,False,Varus,0,0,0,GOLD II,2026-04-15 17:31:11.298
EUW1_7821387415,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776271093401,1776273763779,2670,False,Quinn,9,15,8,GOLD II,2026-04-15 17:22:43.779
EUW1_7821275002,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776265372572,1776267162053,1789,True,Quinn,11,6,7,GOLD II,2026-04-15 15:32:42.053
EUW1_7821238344,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776263350899,1776265083937,1733,True,Quinn,10,4,7,GOLD II,2026-04-15 14:58:03.937
EUW1_7821200973,xD7_qeulxMk9J3gKJNj75Rbd2V55We6B0PvXWs72ztUF7vTgZrW7dqd_AQUdCVad2z2-qluymE9W6A,1776261210654,1776263091221,1880,True,Ekko,5,5,10,GOLD II,2026-04-15 14:24:51.221
