match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842948391,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777932288091,1777934318329,2030,False,Yuumi,0,5,13,SILVER II,2026-05-04 22:38:38.329
EUW1_7842879449,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777929186308,1777930975231,1789,False,Katarina,2,7,4,SILVER II,2026-05-04 21:42:55.231
EUW1_7842831943,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777927038167,1777928672387,1634,True,Katarina,5,6,3,SILVER II,2026-05-04 21:04:32.387
EUW1_7842796706,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777925456102,1777926374270,918,False,Katarina,1,2,0,SILVER II,2026-05-04 20:26:14.270
EUW1_7842600111,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777922905191,1777925060630,2155,False,Katarina,8,7,9,SILVER II,2026-05-04 20:04:20.630
EUW1_7841738347,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777844435654,1777846250462,1815,False,Katarina,2,11,10,SILVER II,2026-05-03 22:10:50.462
EUW1_7841699831,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777842630181,1777844037622,1407,False,Katarina,4,8,4,SILVER II,2026-05-03 21:33:57.622
EUW1_7841634514,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777839835301,1777841346465,1511,True,Katarina,9,3,8,SILVER II,2026-05-03 20:49:06.465
EUW1_7836056273,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777415281206,1777417340781,2059,True,Katarina,10,8,7,SILVER II,2026-04-28 23:02:20.781
EUW1_7835098341,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777328210095,1777329523910,1314,False,Katarina,1,6,1,SILVER II,2026-04-27 22:38:43.910
EUW1_7833957510,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777235244467,1777236829571,1585,True,Katarina,7,3,4,SILVER II,2026-04-26 20:53:49.571
EUW1_7832917701,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777157596413,1777159746072,2150,True,Katarina,18,6,10,SILVER II,2026-04-25 23:29:06.072
EUW1_7832874980,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777155371999,1777157289668,1917,False,Katarina,5,9,3,SILVER II,2026-04-25 22:48:09.668
EUW1_7832819289,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777152986838,1777154787038,1800,False,Irelia,9,7,3,SILVER II,2026-04-25 22:06:27.038
EUW1_7832779622,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777151025108,1777152615423,1590,True,Katarina,3,5,6,SILVER II,2026-04-25 21:30:15.423
EUW1_7832339319,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777129661749,1777131340294,1678,False,Zyra,2,7,5,SILVER II,2026-04-25 15:35:40.294
EUW1_7832309158,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777127961661,1777129413972,1452,False,Katarina,4,8,1,SILVER II,2026-04-25 15:03:33.972
EUW1_7832216826,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777122580404,1777124976320,2396,True,Katarina,7,7,5,SILVER II,2026-04-25 13:49:36.320
EUW1_7831284084,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777046528980,1777048698217,2169,True,Irelia,8,4,10,SILVER II,2026-04-24 16:38:18.217
EUW1_7831251462,yUp08QWsPPqeVAopSt6xP6KEulVvYWZa5E7Z8G_SIs40pOdE32KeONAzU-ptHH_EszOBDeCYa6U4zA,1777044361278,1777046272643,1911,True,Katarina,9,4,9,SILVER II,2026-04-24 15:57:52.643
