match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7822164694,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776337264190,1776339355421,2091,False,Amumu,0,6,7,SILVER III,2026-04-16 11:35:55.421
EUW1_7822128451,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776334392275,1776336521687,2129,False,Amumu,5,6,10,SILVER III,2026-04-16 10:48:41.687
EUW1_7821625659,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776280796885,1776283049281,2252,True,Amumu,7,7,16,SILVER III,2026-04-15 19:57:29.281
EUW1_7821574094,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776278907647,1776280440077,1532,False,Amumu,2,8,6,SILVER III,2026-04-15 19:14:00.077
EUW1_7821504035,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776276149883,1776278621916,2472,False,Hecarim,1,13,14,SILVER III,2026-04-15 18:43:41.916
EUW1_7821215245,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776262091044,1776263879212,1788,False,Amumu,5,7,9,SILVER III,2026-04-15 14:37:59.212
EUW1_7821206406,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776261772068,1776261846497,79,False,Amumu,0,0,0,SILVER III,2026-04-15 14:04:06.497
EUW1_7821151388,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776258341753,1776260596499,2255,True,Amumu,3,7,11,SILVER III,2026-04-15 13:43:16.499
EUW1_7821127268,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776256161210,1776257909606,1748,False,Amumu,1,7,4,SILVER III,2026-04-15 12:58:29.606
EUW1_7821104728,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776254143933,1776255749415,1605,True,Amumu,2,5,9,SILVER III,2026-04-15 12:22:29.415
EUW1_7821030923,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776248301017,1776250378069,2077,False,Amumu,3,10,15,SILVER III,2026-04-15 10:52:58.069
EUW1_7820698815,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776199267701,1776201656160,2388,True,Amumu,4,10,23,SILVER III,2026-04-14 21:20:56.160
EUW1_7820650003,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776196993397,1776198591834,1598,True,Amumu,4,4,9,SILVER III,2026-04-14 20:29:51.834
EUW1_7820600534,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776194714694,1776196328527,1614,False,Amumu,1,7,9,SILVER III,2026-04-14 19:52:08.527
EUW1_7820559496,yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,1776192914728,1776194196543,1282,True,Amumu,4,1,3,SILVER III,2026-04-14 19:16:36.543
