match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830061997,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776946879500,1776948032595,1153,True,Yone,8,2,2,SILVER II,2026-04-23 12:40:32.595
EUW1_7830027462,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776943655656,1776945636382,1981,True,Yone,12,7,10,SILVER II,2026-04-23 12:00:36.382
EUW1_7829981355,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776939660028,1776941822827,2163,False,Darius,9,10,5,SILVER II,2026-04-23 10:57:02.827
EUW1_7829954134,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776936646630,1776938814356,2168,False,Darius,11,5,8,SILVER II,2026-04-23 10:06:54.356
EUW1_7829325868,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776877498811,1776877661275,162,False,Darius,0,0,0,SILVER II,2026-04-22 17:07:41.275
EUW1_7829121656,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776865337105,1776866785326,1448,False,Diana,5,6,0,SILVER II,2026-04-22 14:06:25.326
EUW1_7829089190,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776863312092,1776864851994,1540,False,Xayah,1,11,0,SILVER II,2026-04-22 13:34:11.994
EUW1_7829072935,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776861765662,1776863014971,1249,True,Darius,2,10,0,SILVER II,2026-04-22 13:03:34.971
EUW1_7829049139,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776860084714,1776861454533,1370,True,Darius,2,3,3,SILVER II,2026-04-22 12:37:34.533
EUW1_7829026212,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776858017245,1776859586961,1570,False,Darius,8,7,4,SILVER II,2026-04-22 12:06:26.961
EUW1_7829009465,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776855704588,1776857454528,1750,False,Aatrox,0,11,2,SILVER II,2026-04-22 11:30:54.528
EUW1_7828961771,yer_NMaiBVaeYmpf63lClEQ_J59Fi5sOKJe9QEEAXGBYm0uAFcNXHGc91uF-SVE_BLb0AwPDZAZqxg,1776851117450,1776852727841,1610,False,Lillia,5,10,6,SILVER II,2026-04-22 10:12:07.841
