match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7840267914,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777750907897,1777753016681,2109,False,Aphelios,18,9,5,GOLD IV,2026-05-02 20:16:56.681
EUW1_7833090043,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777190096278,1777192764756,2668,False,Aphelios,11,9,11,GOLD IV,2026-04-26 08:39:24.756
EUW1_7832581191,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777142505752,1777144456982,1951,False,Aphelios,1,6,7,GOLD IV,2026-04-25 19:14:16.982
EUW1_7832471651,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777136368505,1777138777807,2409,True,Aphelios,11,11,14,GOLD IV,2026-04-25 17:39:37.807
EUW1_7832378167,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777131735185,1777133718898,1984,False,Aphelios,3,5,8,GOLD IV,2026-04-25 16:15:18.898
EUW1_7832302280,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777127530859,1777129479509,1948,True,Aphelios,16,5,5,GOLD IV,2026-04-25 15:04:39.509
EUW1_7832251666,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777124259797,1777126213047,1953,True,Aphelios,7,8,9,GOLD IV,2026-04-25 14:10:13.047
EUW1_7832182718,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777120291578,1777122148524,1857,False,Aphelios,4,5,7,GOLD IV,2026-04-25 13:02:28.524
EUW1_7832131136,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777116949698,1777118171569,1222,True,Aphelios,6,1,3,GOLD IV,2026-04-25 11:56:11.569
EUW1_7832094490,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777114089933,1777115649672,1560,True,Aphelios,15,5,10,GOLD IV,2026-04-25 11:14:09.672
EUW1_7832047634,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777110435835,1777112397737,1962,True,Aphelios,11,2,10,GOLD IV,2026-04-25 10:19:57.737
EUW1_7832013819,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777107521427,1777109765066,2243,True,Aphelios,28,12,6,GOLD IV,2026-04-25 09:36:05.066
EUW1_7831096285,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1777035204101,1777037345529,2141,True,Aphelios,12,6,9,GOLD IV,2026-04-24 13:29:05.529
EUW1_7830555519,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776973722664,1776975359178,1636,True,Warwick,17,3,1,GOLD IV,2026-04-23 20:15:59.178
EUW1_7830503918,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776971851065,1776973472167,1621,False,Aphelios,5,10,2,GOLD IV,2026-04-23 19:44:32.167
EUW1_7830450092,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776969685124,1776971583082,1898,False,Aphelios,6,10,6,GOLD IV,2026-04-23 19:13:03.082
EUW1_7829822213,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776902950622,1776904394407,1444,False,Aphelios,3,8,0,GOLD IV,2026-04-23 00:33:14.407
EUW1_7829409214,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776881685990,1776883984083,2298,False,Aphelios,12,8,10,GOLD IV,2026-04-22 18:53:04.083
EUW1_7829352460,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776878478643,1776880606545,2128,True,Aphelios,18,8,10,GOLD IV,2026-04-22 17:56:46.545
EUW1_7829296365,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776876284136,1776877637971,1354,True,Aphelios,17,2,11,GOLD IV,2026-04-22 17:07:17.971
EUW1_7828831645,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776814981348,1776816688020,1707,True,Aphelios,8,8,5,GOLD IV,2026-04-22 00:11:28.020
EUW1_7828132568,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776781235476,1776781356369,121,False,Aphelios,0,0,0,GOLD IV,2026-04-21 14:22:36.369
EUW1_7827390922,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776710445592,1776712137129,1691,False,Aphelios,2,10,8,GOLD IV,2026-04-20 19:08:57.129
EUW1_7827084475,yj_Sv_mBa7SUT9TGN1TUlXj3cp0lp2NhkHwTIh5YVTBQXIq7lWDUu3qVlVwxmJstXwAKEeCdr1EAXg,1776695478777,1776697326793,1848,True,Nilah,6,6,12,GOLD IV,2026-04-20 15:02:06.793
