match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841623268,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1777839544405,1777841658133,2114,True,Diana,6,7,2,SILVER III,2026-05-03 20:54:18.133
EUW1_7841520289,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1777835770763,1777838221079,2450,True,Malzahar,3,5,11,SILVER III,2026-05-03 19:57:01.079
EUW1_7841348170,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1777828968959,1777830999079,2030,True,Kennen,4,8,3,SILVER III,2026-05-03 17:56:39.079
EUW1_7841270568,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1777825594840,1777827874248,2279,True,Lux,8,5,10,SILVER III,2026-05-03 17:04:34.248
EUW1_7828884862,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1776836423620,1776838618724,2195,False,XinZhao,12,8,4,SILVER III,2026-04-22 06:16:58.724
EUW1_7821988189,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1776303069492,1776305032018,1962,False,Pyke,3,12,9,SILVER III,2026-04-16 02:03:52.018
EUW1_7814736321,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1775699286401,1775701058349,1772,False,Yasuo,1,10,1,SILVER III,2026-04-09 02:17:38.349
EUW1_7814735211,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1775698769181,1775698858431,89,False,Volibear,0,0,0,SILVER III,2026-04-09 01:40:58.431
EUW1_7814554108,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1775682444283,1775683924631,1480,True,Yasuo,6,5,2,SILVER III,2026-04-08 21:32:04.631
EUW1_7807167120,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1775107895503,1775109116601,1226,True,Anivia,4,1,2,SILVER III,2026-04-02 05:51:56.601
EUW1_7807158926,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1775104548021,1775106794906,2247,False,Kennen,6,12,8,SILVER III,2026-04-02 05:13:14.906
EUW1_7807154167,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1775103951322,1775104099186,148,False,FiddleSticks,0,1,0,SILVER III,2026-04-02 04:28:19.186
EUW1_7804887649,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1774905284019,1774908172564,2888,False,Teemo,6,14,2,SILVER III,2026-03-30 22:02:52.564
EUW1_7795606651,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1774300792250,1774302312670,1520,False,XinZhao,6,7,0,SILVER III,2026-03-23 21:45:12.670
EUW1_7773417128,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1773198028991,1773199412323,1383,False,Pantheon,4,8,1,SILVER III,2026-03-11 03:23:32.323
EUW1_7773335376,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1773190754423,1773192645181,1891,True,Yasuo,4,3,2,SILVER III,2026-03-11 01:30:45.181
EUW1_7773059311,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1773179035357,1773180468514,1433,False,Yasuo,0,4,1,SILVER III,2026-03-10 22:07:48.514
EUW1_7772994270,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1773177006827,1773177917290,910,False,Malphite,1,10,0,SILVER III,2026-03-10 21:25:17.290
EUW1_7771850253,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1773119043316,1773121165360,2122,False,Zed,8,5,1,SILVER III,2026-03-10 05:39:25.360
EUW1_7771832012,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1773116550022,1773118555235,2005,False,Yasuo,0,6,5,SILVER III,2026-03-10 04:55:55.235
EUW1_7771803463,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1773112774282,1773115417986,2644,False,Mordekaiser,15,12,2,SILVER III,2026-03-10 04:03:37.986
EUW1_7768249974,zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,1772935670225,1772937258371,1588,False,Gnar,3,6,0,SILVER III,2026-03-08 02:34:18.371
