match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828694065,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776806200032,1776808482001,2282,True,Jinx,12,3,9,GOLD III,2026-04-21 21:54:42.001
EUW1_7824198543,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776469450835,1776471270046,1819,False,Jinx,4,10,10,GOLD III,2026-04-18 00:14:30.046
EUW1_7824157842,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776467053852,1776469149139,2095,True,Jinx,8,13,11,GOLD III,2026-04-17 23:39:09.139
EUW1_7822979941,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776376907180,1776378479333,1572,False,Jinx,3,8,9,GOLD III,2026-04-16 22:27:59.333
EUW1_7822936683,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776374796160,1776376575776,1779,True,Jinx,10,5,5,GOLD III,2026-04-16 21:56:15.776
EUW1_7822818304,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776370370640,1776372454614,2084,False,Jinx,4,9,10,GOLD III,2026-04-16 20:47:34.614
EUW1_7822755577,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776367905826,1776370118571,2213,True,Jinx,3,6,9,GOLD III,2026-04-16 20:08:38.571
EUW1_7821964470,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776298285988,1776301361505,3075,True,Viego,17,12,11,GOLD III,2026-04-16 01:02:41.505
EUW1_7821957504,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776297259952,1776297951300,691,True,Jinx,1,4,2,GOLD III,2026-04-16 00:05:51.300
EUW1_7821924132,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776295008557,1776296793485,1785,True,Jinx,10,9,13,GOLD III,2026-04-15 23:46:33.485
EUW1_7821867441,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776291193080,1776293147991,1955,True,Jinx,12,7,14,GOLD III,2026-04-15 22:45:47.991
EUW1_7821825486,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776288778766,1776290403546,1625,True,Jinx,2,5,6,GOLD III,2026-04-15 22:00:03.546
EUW1_7821771243,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776286781451,1776288447547,1666,True,Jinx,17,5,6,GOLD III,2026-04-15 21:27:27.547
EUW1_7821718232,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776284580320,1776286479561,1899,True,Jinx,17,7,9,GOLD III,2026-04-15 20:54:39.561
EUW1_7821406119,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776271879323,1776273973307,2094,False,Jinx,5,9,10,GOLD III,2026-04-15 17:26:13.307
EUW1_7821368388,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1776270201806,1776271608939,1407,True,Jinx,8,3,7,GOLD III,2026-04-15 16:46:48.939
EUW1_7817753650,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1775947191821,1775949722026,2530,False,Jinx,7,12,13,GOLD III,2026-04-11 23:22:02.026
EUW1_7817707503,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1775944764870,1775946949574,2185,False,Jinx,9,8,12,GOLD III,2026-04-11 22:35:49.574
EUW1_7816717073,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1775864874086,1775867596009,2722,False,Jinx,16,9,12,GOLD III,2026-04-11 00:33:16.009
EUW1_7816686212,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1775862915371,1775864550875,1635,False,Jinx,5,5,4,GOLD III,2026-04-10 23:42:30.875
EUW1_7815248161,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1775758249969,1775759915288,1665,False,Jinx,3,6,5,GOLD III,2026-04-09 18:38:35.288
EUW1_7815189198,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1775755068836,1775756628589,1560,False,Ashe,2,7,3,GOLD III,2026-04-09 17:43:48.589
EUW1_7811524412,zdUnZfVwi0D8eVGI_qxtDd7Eu6IRcKZ41I7AkqhnETgKqblrAYElKcfChYPPTqMYjaxPuu_Gpwke6g,1775425816704,1775427728035,1911,True,Jinx,4,4,10,GOLD III,2026-04-05 22:22:08.035
