match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7839193032,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777667908790,1777670097110,2188,False,Twitch,1,10,10,SILVER I,2026-05-01 21:14:57.110
EUW1_7839123919,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777664943364,1777667151557,2208,False,Hwei,3,8,14,SILVER I,2026-05-01 20:25:51.557
EUW1_7839063359,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777662647116,1777664559041,1912,False,Kayn,4,4,6,SILVER I,2026-05-01 19:42:39.041
EUW1_7838992602,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777659100525,1777661289147,2188,False,Kayn,10,9,5,SILVER I,2026-05-01 18:48:09.147
EUW1_7838921280,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777655791746,1777657967146,2175,False,Kayn,5,7,13,SILVER I,2026-05-01 17:52:47.146
EUW1_7838783244,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777648979053,1777651160472,2181,False,Kayn,6,9,8,SILVER I,2026-05-01 15:59:20.472
EUW1_7838513372,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777633765723,1777636197058,2431,True,Kayn,6,3,9,SILVER I,2026-05-01 11:49:57.058
EUW1_7838323922,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777604857457,1777604927890,70,True,Kayn,0,0,0,SILVER I,2026-05-01 03:08:47.890
EUW1_7838320782,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777602784808,1777604342968,1558,True,Kayn,8,4,8,SILVER I,2026-05-01 02:59:02.968
EUW1_7838301062,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777599071523,1777599187407,121,True,Kayn,0,0,0,SILVER I,2026-05-01 01:33:07.407
EUW1_7838286745,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777596270393,1777598454263,2184,False,Kayn,7,8,6,SILVER I,2026-05-01 01:20:54.263
EUW1_7837372425,ztyQXvlLb1pVOp5iBrYSLnh2E_5E24linBHfpQ1IZEmd7jxeH7eCRCmmSnsEBMFPgR9XL5BKdO9ckA,1777544551400,1777546466193,1915,False,Kayn,10,8,3,SILVER I,2026-04-30 10:54:26.193
